tss-1r_m1_rtka	Epoch	ns	1.0e-9&gt;s	Time Line	Start Time for the record		support_data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_5V_DCE_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Positive 5V DCE		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_5V_DCE_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Positive 5V DCE		data											
tss-1r_m1_rtka	Positive_15V_DCE_1_Telemetry_Unitless		na	Positive 15V DCE	+15V DCE Monitor		data											
tss-1r_m1_rtka	Positive_15V_DCE_2_Voltage_volts	V	na	Positive 15V DCE	+15V DCE Monitor		data											
tss-1r_m1_rtka	Data_Quality_Positive_15V_DCE	Integer	na	Data_Quality_Positive_15V_DCE	Data Quality Indicator for Positive 15V DCE		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_15V_DCE_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Positive 15V DCE		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_15V_DCE_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Positive 15V DCE		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_15V_DCE_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Positive 15V DCE		data											
tss-1r_m1_rtka	Negative_15V_DCE_1_Telemetry_Unitless		na	Negative 15V DCE	-15V DCE Monitor		data											
tss-1r_m1_rtka	Negative_15V_DCE_2_Voltage_volts	V	na	Negative 15V DCE	-15V DCE Monitor		data											
tss-1r_m1_rtka	Data_Quality_Negative_15V_DCE	Integer	na	Data_Quality_Negative_15V_DCE	Data Quality Indicator for Negative 15V DCE		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_15V_DCE_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Negative 15V DCE		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_15V_DCE_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Negative 15V DCE		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_15V_DCE_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Negative 15V DCE		data											
tss-1r_m1_rtka	Positive_6V_WRA_Dig_Filters_1_Telemetry_Unitless		na	Positive 6V WRA Dig Filters	+6V WRA Digital Filters Monitor		data											
