po_hyd_energy_flux	Epoch	ms		Time since 0 AD	Interval centered time		support_data											
po_hyd_energy_flux	po_ion_energy_flux	mW/m!U2!N		Ion energy flux	Ion energy flux		data											
po_hyd_energy_flux	po_ele_energy_flux	mW/m!U2!N		Ele energy flux	Ele energy flux		data											
