solo_l3_swa-his-comp-10min	C_CHARGE_DIST_ERR			C_CHARGE_DIST_ERR	Carbon charge distribution error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	C_CHARGE_DIST_QF			C_CHARGE_DIST_QF	Carbon charge distribution quality flag		support_data											
solo_l3_swa-his-comp-10min	FE_CHARGE_DIST			FE_CHARGE_DIST	Iron charge distribution		data											
solo_l3_swa-his-comp-10min	FE_CHARGE_DIST_ERR			FE_CHARGE_DIST_ERR	Iron charge distribution error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	FE_CHARGE_DIST_QF			FE_CHARGE_DIST_QF	Iron charge distribution quality flag		support_data											
solo_l3_swa-his-comp-10min	SI_CHARGE_DIST			SI_CHARGE_DIST	Silicon charge distribution		data											
solo_l3_swa-his-comp-10min	SI_CHARGE_DIST_ERR			SI_CHARGE_DIST_ERR	Silicon charge distribution error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	SI_CHARGE_DIST_QF			SI_CHARGE_DIST_QF	Silicon charge distribution quality flag		support_data											
solo_l3_swa-his-comp-10min	NE_CHARGE_DIST			NE_CHARGE_DIST	Neon charge distribution		data											
solo_l3_swa-his-comp-10min	NE_CHARGE_DIST_ERR			NE_CHARGE_DIST_ERR	Neon charge distribution error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	NE_CHARGE_DIST_QF			NE_CHARGE_DIST_QF	Neon charge distribution quality flag		support_data											
solo_l3_swa-his-comp-10min	MG_CHARGE_DIST			MG_CHARGE_DIST	Magnesium charge distribution		data											
solo_l3_swa-his-comp-10min	MG_CHARGE_DIST_ERR			MG_CHARGE_DIST_ERR	Magnesium charge distribution error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	MG_CHARGE_DIST_QF			MG_CHARGE_DIST_QF	Magnesium charge distribution quality flag		support_data											
solo_l3_swa-his-comp-10min	N_CHARGE_DIST			N_CHARGE_DIST	Nitrogen charge distribution		data											
solo_l3_swa-his-comp-10min	N_CHARGE_DIST_ERR			N_CHARGE_DIST_ERR	Nitrogen charge distribution error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	N_CHARGE_DIST_QF			N_CHARGE_DIST_QF	Nitrogen charge distribution quality flag		support_data											
solo_l3_swa-his-comp-10min	S_CHARGE_DIST			S_CHARGE_DIST	Sulpher charge distribution		data											
solo_l3_swa-his-comp-10min	S_CHARGE_DIST_ERR			S_CHARGE_DIST_ERR	Sulpher charge distribution error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	S_CHARGE_DIST_QF			S_CHARGE_DIST_QF	Sulpher charge distribution quality flag		support_data											
solo_l3_swa-his-comp-10min	O7_O6_RATIO			O7_O6_RATIO	O7/O6 element ratio		data											
solo_l3_swa-his-comp-10min	O7_O6_RATIO_ERR			O7_O6_RATIO_ERR	O7/O6 element ratio error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	O7_O6_RATIO_QF			O7_O6_RATIO_QF	O7/O6 element ratio quality flag		support_data											
solo_l3_swa-his-comp-10min	C6_C4_RATIO			C6_C4_RATIO	C6/C4 element ratio		data											
solo_l3_swa-his-comp-10min	C6_C4_RATIO_ERR			C6_C4_RATIO_ERR	C6/C4 element ratio error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	C6_C4_RATIO_QF			C6_C4_RATIO_QF	C6/C4 element ratio quality flag		support_data											
solo_l3_swa-his-comp-10min	C6_C5_RATIO			C6_C5_RATIO	C6/C5 element ratio		data											
solo_l3_swa-his-comp-10min	C6_C5_RATIO_ERR			C6_C5_RATIO_ERR	C6/C5 element ratio error/uncertainty		support_data											
