									
SPASE_PERSON_RESOURCE_ID	FULL_NAME	FIRST_NAME	AUTHORS_GIVEN_NAME	FAMILY_NAME	INITIAL_NAME	AFFILIATION_NAME	AFFILIATION_ROR	MISSION_ACRONYM	NAME_PATTERN
									
SMWG/Person/Andriy.Koval	Andriy Koval	Andriy	Andriy	Koval	A. Koval	Goddard Planetary Physics Institute, University of Maryland, Baltimore County		WIND	N_N
SMWG/Person/Adam.Szabo	Adam Szabo	Adam	Adam	Szabo	A. Szabo	NASA Goddard Space Flight Center		WIND	N_N
