									
SPASE_PERSON_RESOURCE_ID	FULL_NAME	FIRST_NAME	AUTHORS_GIVEN_NAME	FAMILY_NAME	INITIAL_NAME	AFFILIATION_NAME	AFFILIATION_ROR	MISSION_ACRONYM	NAME_PATTERN
									
SMWG/Person/Thomas.E.Moore	Thomas E. Moore	Thomas	Thomas, E.	Moore	T.E. Moore	GSFC-Code 612.2	ZZZ	POLAR	N_I_N
SMWG/Person/Paul.D.Craven	Paul D. Craven	Paul	Paul, D.	Craven	P.D. Craven	NASA Marshall Space Flight Center	ZZZ	POLAR	N_I_N
SMWG/Person/Peggy.Sloan	Peggy Sloan	Peggy	Peggy	Sloan	P. Sloan	National Space Science and Technology Center (NSSTC)	ZZZ	POLAR	N_N
SMWG/Person/George.K.Parks	George K. Parks	George	George, K.	Parks	G.K. Parks	University of California	ZZZ	POLAR	N_I_N
