1183			
1	T/Hz^1/2	Field	Magnetic
1	Torr	Particle	Pressure
123	V	Field	Electric
222	V	Field	Potential
4	V	Particle	Energy
624	V	Support	Housekeeping
12	V	Support	InstrumentMode
6	V	Wave	ACElectricField
8	V	Wave	Absorption
13	V	Wave	Intensity
5	V/m	Field	Electric
2	V/m	Wave	ACElectricField
6	V/m	Wave	Intensity
4	V/m Hz^-1/2	data	
1	V^2/Hz	Field	Electric
8	V^2/Hz	Wave	ACElectricField
392	V^2/Hz	Wave	Intensity
51	W/m^2	Wave	Intensity
23	a	Support	Temporal
36	cardinal number		
144	cm^-2 s^-1	Particle	NumberFlux
4	cm^-3	Particle	Counts
382	cm^-3	Particle	NumberDensity
1	cm^-3	Support	Other
3	cm^-3	Wave	Intensity
2	cm^-3	data	
4	cm^-3 (cm/s)^-3	Particle	NumberFlux
32	cm^-6 s^3	Particle	PhaseSpaceDensity
6	cm^2 s sr eV	Mixed	Other
8	cm^2 s^-1	Particle	NumberFlux
4	cm^2 sr	Support	InstrumentMode
4	cm^2 sr MeV	Support	InstrumentMode
60	d	Support	Temporal
3	dB	Field	Electric
4	dB	Wave	Absorption
1	d^-1	Support	Other
264	degree	Particle	ArrivalDirection
24	degree	Support	
140	degree	Support	Other
228	degree	Support	Positional
8	eV	Metadata	
250	eV	Particle	Energy
570	eV	Particle	Temperature
16	eV	Support	Other
130	eV/(cm^2 s sr eV)	Particle	EnergyFlux
18	eV/(cm^2 s sr eV)	Particle	NumberFlux
18	eV/(cm^2 s sr)	Particle	EnergyFlux
6	eV/(cm^2 s sr)	Support	Other
2	eV/(cm^2 s)	Particle	HeatFlux
122	eV/cm^3	Particle	Pressure
2	eV/cm^3	Wave	ModeAmplitude
5	eV/q	Particle	Energy
16	eV/sr/s	Particle	EnergyFlux
14	erg/(cm^3 s)	Wave	Emissivity
6	ergs/(cm^2 s sr eV)	Particle	EnergyFlux
20	fA	Field	Current
1	good = 0	Support	DataQuality
3	h	Field	Magnetic
14	h	Metadata	
23	h	Support	
1	h	Support	Other
4	h	Support	Position
267	h	Support	Positional
19	h	Support	Temporal
1	kHz	Particle	Gyrofrequency
7	kHz	Wave	Frequency
1	kHz	data	
2	kR	Support	Other
17	kR	Wave	Intensity
1	kV	Field	Electric
2	kV	Field	Potential
8	kV	Particle	Energy
477	keV	Particle	Energy
7	keV	Particle	Temperature
