151	Integer
6	Ions/cc
4	J.cm^-3
32	JovianRadii
16	Jovianradii
1	K (w/o error bars)
1	K (with error bars)
2	KeV/e
7	Kev cm^-2 s^-1 sr^-1 Kev^-1
9	LH:-1/RH:+1
2	Lunar radii
303	MHz
116	MK
1	MLT hours
8	MSec
1354	MeV
1	MeV cm^2
10	MeV cm^2 sr
13	MeV/c^2
1253	MeV/n
56	MeV/nucleon
3	Meters
6	Milliseconds since 1970-01-01 00:00:00
64	Milliseconds since 1970-1-1 00:00:00
8	Min
1	Mins
6	N/cc
1129	NA
2	NYseconds
10	Nanoseconds
4	Ne/cm-3
10	Normal
16	Normalized
8	Pa
9	Particles cm^-2 s^-1 sr^-1 Kev^-1
35	Particles cm^-2 s^-1 sr^-1 keV^-1
27	Particles s^3 km^-6
112	Particles/(cm^2 s sr keV)
2	Phase Angle, Deg
1	Pitch angle Bin (0:11)
267	R
2	R/cm^-1
20	RPS
26	R_E nT^0.5
3	Rads
3	Rads/Count
2	Range
10	Ratio
2	Ray
6	Rayleighs^2
3	Re and MLT
23	Rs
1	Rv
2	SEC
6	Samples
4	Samples/cycle
30	Samples/s
10	Sec
5	Seconds since 1970-01-01T00:00:00Z
3	Slope
9	Sol
16	Standard deviation
13	Steradians
1	T/Hz^1/2
30	Tesla
29	Ticks
12	Time
9	Uncalibrated brightness units
2267	V
2	V(12)
4	V-dc
59	V/m
7	V/m Hz^-1/2
6	V/m or nT
2	V^2
156	V^2 m^-2 Hz^-1
417	V^2/Hz
4	Venus radii
48	Vin/Vout
2	Volts/m
504	Volts^2/Hz
4	W
4	W cm^-2
1	W cm^-2 Hz^-1
29	W m^-2
7	W m^-2 nm^-1
45	W/(m^2 sr)
48	W/m^2/Hz
56	Weeks
9	YYYYMMDD hr:mm:ss
80	[-1, 1]
2	[Re]
1	[]
36	[cm!e-2!ns!e-1!nsr!e-1!nMeV!e-1!n]
3	[keV]
630	[nT]
29	a
4	amps/hr
1	angle num
6	angstrom
48	arb
1	arcmin
8	bit fields
6	bytes
120	c/acc
20	cardinal number
1	cdeg
62	cm!E-2!Nsr!E-1!Nsec!E-1!N(MeV/nuc)!E-1!N
3	cm!E-2!Nsr!E-1!Nsec!E-1!N(keV/nuc)!E-1!N
62	cm!E-2!Nsr!E-1!Nsec!E-1!NMeV!E-1!N
13	cm!E-2!Nsr!E-1!Nsec!E-1!NkeV!E-1!N
26	cm!U-2!N s!U-1!N keV!U-1!N
10	cm!e-2!ns!e-1!nkeV!e-1!n
2	cm-2 s-1 eV/eV
6	cm-6
26	cm2^2 sr KeV KeV^-1
55	cm2^2 sr keV keV^-1
28	cm^-1
680	cm^-2 s^-1
10	cm^-2 s^-1 sr^-1 keV^-1
80	cm^-2 s^-2
1219	cm^-3
37	cm^-3 (cm/s)^-3
32	cm^-6 s^3
22	cm^2 s sr eV
8	cm^2 s^-1
40	cm^2 sr
20	cm^2 sr eV/eV
19	cm^2 sr^-1
3	cm^2-sr
6	cm^3 sr
1	cm^3 sr MeV
6	cnts/(cm**2 sr s eV)
6	cnts/(cm**2 sr s)
2	cnts/(cm**2-sr-s)
60	cnts/(cm**2-sr-s-eV)
12	cnts/(cm**2-ster-s)
16	cnts/(cm**2-ster-s-e
4	cnts/(cm**2-str-s)
6	cnts/accum
1	cnts/pixel
6	cor cnts/sec
4	coulombs
2	count/sample
3	counts (All Q
15	counts (All Q)
3	counts (good Q
15	counts (good Q)
408	counts / s
9	counts/(channel-10ms)
9	counts/(keV-s)
16	counts/hour
8	counts/min
118	counts/second
3	counts/sector
12	ct/sec
2	cubic ft
368	d
59	dB
1	dBm
24	d^-1
636	day-month-year hour:minute:second
2	deg per sec
154	deg(C)
296	degrees C
46	degrees F
2	degrees K
5	degrees/s
