bar_1i_l2_sspc	yyyymmdd	NASA/Granule/BARREL/1I/SlowSpectra/L2/PT32S
bar_1j_l2_ephm	yyyymmdd	NASA/Granule/BARREL/1J/Ephemeris/L2/PT4S
bar_1j_l2_fspc	yyyymmdd	NASA/Granule/BARREL/1J/FastSpectra/L2/PT0.05S
bar_1j_l2_hkpg	yyyymmdd	NASA/Granule/BARREL/1J/Housekeeping/L2/PT40S
bar_1j_l2_magn	yyyymmdd	NASA/Granule/BARREL/1J/Magnetometer/L2/PT0.25S
bar_1j_l2_mspc	yyyymmdd	NASA/Granule/BARREL/1J/MediumSpectra/L2/PT4S
bar_1j_l2_rcnt	yyyymmdd	NASA/Granule/BARREL/1J/RateCounter/L2/PT4S
bar_1j_l2_sspc	yyyymmdd	NASA/Granule/BARREL/1J/SlowSpectra/L2/PT32S
bar_1k_l2_ephm	yyyymmdd	NASA/Granule/BARREL/1K/Ephemeris/L2/PT4S
bar_1k_l2_fspc	yyyymmdd	NASA/Granule/BARREL/1K/FastSpectra/L2/PT0.05S
bar_1k_l2_hkpg	yyyymmdd	NASA/Granule/BARREL/1K/Housekeeping/L2/PT40S
bar_1k_l2_magn	yyyymmdd	NASA/Granule/BARREL/1K/Magnetometer/L2/PT0.25S
bar_1k_l2_mspc	yyyymmdd	NASA/Granule/BARREL/1K/MediumSpectra/L2/PT4S
bar_1k_l2_rcnt	yyyymmdd	NASA/Granule/BARREL/1K/RateCounter/L2/PT4S
bar_1k_l2_sspc	yyyymmdd	NASA/Granule/BARREL/1K/SlowSpectra/L2/PT32S
bar_1m_l2_ephm	yyyymmdd	NASA/Granule/BARREL/1M/Ephemeris/L2/PT4S
bar_1m_l2_fspc	yyyymmdd	NASA/Granule/BARREL/1M/FastSpectra/L2/PT0.05S
bar_1m_l2_hkpg	yyyymmdd	NASA/Granule/BARREL/1M/Housekeeping/L2/PT40S
bar_1m_l2_magn	yyyymmdd	NASA/Granule/BARREL/1M/Magnetometer/L2/PT0.25S
bar_1m_l2_mspc	yyyymmdd	NASA/Granule/BARREL/1M/MediumSpectra/L2/PT4S
bar_1m_l2_rcnt	yyyymmdd	NASA/Granule/BARREL/1M/RateCounter/L2/PT4S
bar_1m_l2_sspc	yyyymmdd	NASA/Granule/BARREL/1M/SlowSpectra/L2/PT32S
bar_1n_l2_ephm	yyyymmdd	NASA/Granule/BARREL/1N/Ephemeris/L2/PT4S
bar_1n_l2_fspc	yyyymmdd	NASA/Granule/BARREL/1N/FastSpectra/L2/PT0.05S
bar_1n_l2_hkpg	yyyymmdd	NASA/Granule/BARREL/1N/Housekeeping/L2/PT40S
bar_1n_l2_magn	yyyymmdd	NASA/Granule/BARREL/1N/Magnetometer/L2/PT0.25S
bar_1n_l2_mspc	yyyymmdd	NASA/Granule/BARREL/1N/MediumSpectra/L2/PT4S
bar_1n_l2_rcnt	yyyymmdd	NASA/Granule/BARREL/1N/RateCounter/L2/PT4S
bar_1n_l2_sspc	yyyymmdd	NASA/Granule/BARREL/1N/SlowSpectra/L2/PT32S
bar_1o_l2_ephm	yyyymmdd	NASA/Granule/BARREL/1O/Ephemeris/L2/PT4S
bar_1o_l2_fspc	yyyymmdd	NASA/Granule/BARREL/1O/FastSpectra/L2/PT0.05S
bar_1o_l2_hkpg	yyyymmdd	NASA/Granule/BARREL/1O/Housekeeping/L2/PT40S
bar_1o_l2_magn	yyyymmdd	NASA/Granule/BARREL/1O/Magnetometer/L2/PT0.25S
bar_1o_l2_mspc	yyyymmdd	NASA/Granule/BARREL/1O/MediumSpectra/L2/PT4S
bar_1o_l2_rcnt	yyyymmdd	NASA/Granule/BARREL/1O/RateCounter/L2/PT4S
bar_1o_l2_sspc	yyyymmdd	NASA/Granule/BARREL/1O/SlowSpectra/L2/PT32S
bar_1q_l2_ephm	yyyymmdd	NASA/Granule/BARREL/1Q/Ephemeris/L2/PT4S
bar_1q_l2_fspc	yyyymmdd	NASA/Granule/BARREL/1Q/FastSpectra/L2/PT0.05S
bar_1q_l2_hkpg	yyyymmdd	NASA/Granule/BARREL/1Q/Housekeeping/L2/PT40S
bar_1q_l2_magn	yyyymmdd	NASA/Granule/BARREL/1Q/Magnetometer/L2/PT0.25S
bar_1q_l2_mspc	yyyymmdd	NASA/Granule/BARREL/1Q/MediumSpectra/L2/PT4S
bar_1q_l2_rcnt	yyyymmdd	NASA/Granule/BARREL/1Q/RateCounter/L2/PT4S
bar_1q_l2_sspc	yyyymmdd	NASA/Granule/BARREL/1Q/SlowSpectra/L2/PT32S
bar_1r_l2_ephm	yyyymmdd	NASA/Granule/BARREL/1R/Ephemeris/L2/PT4S
bar_1r_l2_fspc	yyyymmdd	NASA/Granule/BARREL/1R/FastSpectra/L2/PT0.05S
bar_1r_l2_hkpg	yyyymmdd	NASA/Granule/BARREL/1R/Housekeeping/L2/PT40S
bar_1r_l2_magn	yyyymmdd	NASA/Granule/BARREL/1R/Magnetometer/L2/PT0.25S
bar_1r_l2_mspc	yyyymmdd	NASA/Granule/BARREL/1R/MediumSpectra/L2/PT4S
bar_1r_l2_rcnt	yyyymmdd	NASA/Granule/BARREL/1R/RateCounter/L2/PT4S
bar_1r_l2_sspc	yyyymmdd	NASA/Granule/BARREL/1R/SlowSpectra/L2/PT32S
bar_1s_l2_ephm	yyyymmdd	NASA/Granule/BARREL/1S/Ephemeris/L2/PT4S
bar_1s_l2_fspc	yyyymmdd	NASA/Granule/BARREL/1S/FastSpectra/L2/PT0.05S
bar_1s_l2_hkpg	yyyymmdd	NASA/Granule/BARREL/1S/Housekeeping/L2/PT40S
bar_1s_l2_magn	yyyymmdd	NASA/Granule/BARREL/1S/Magnetometer/L2/PT0.25S
bar_1s_l2_mspc	yyyymmdd	NASA/Granule/BARREL/1S/MediumSpectra/L2/PT4S
bar_1s_l2_rcnt	yyyymmdd	NASA/Granule/BARREL/1S/RateCounter/L2/PT4S
bar_1s_l2_sspc	yyyymmdd	NASA/Granule/BARREL/1S/SlowSpectra/L2/PT32S
bar_1t_l2_ephm	yyyymmdd	NASA/Granule/BARREL/1T/Ephemeris/L2/PT4S
bar_1t_l2_fspc	yyyymmdd	NASA/Granule/BARREL/1T/FastSpectra/L2/PT0.05S
bar_1t_l2_hkpg	yyyymmdd	NASA/Granule/BARREL/1T/Housekeeping/L2/PT40S
bar_1t_l2_magn	yyyymmdd	NASA/Granule/BARREL/1T/Magnetometer/L2/PT0.25S
bar_1t_l2_mspc	yyyymmdd	NASA/Granule/BARREL/1T/MediumSpectra/L2/PT4S
bar_1t_l2_rcnt	yyyymmdd	NASA/Granule/BARREL/1T/RateCounter/L2/PT4S
