bar_1k_l2_sspc	yyyymmdd	BARREL/1K/SlowSpectra/L2/PT32S
bar_1m_l2_ephm	yyyymmdd	BARREL/1M/Ephemeris/L2/PT4S
bar_1m_l2_fspc	yyyymmdd	BARREL/1M/FastSpectra/L2/PT0.05S
bar_1m_l2_hkpg	yyyymmdd	BARREL/1M/Housekeeping/L2/PT40S
bar_1m_l2_magn	yyyymmdd	BARREL/1M/Magnetometer/L2/PT0.25S
bar_1m_l2_mspc	yyyymmdd	BARREL/1M/MediumSpectra/L2/PT4S
bar_1m_l2_rcnt	yyyymmdd	BARREL/1M/RateCounter/L2/PT4S
bar_1m_l2_sspc	yyyymmdd	BARREL/1M/SlowSpectra/L2/PT32S
bar_1n_l2_ephm	yyyymmdd	BARREL/1N/Ephemeris/L2/PT4S
bar_1n_l2_fspc	yyyymmdd	BARREL/1N/FastSpectra/L2/PT0.05S
bar_1n_l2_hkpg	yyyymmdd	BARREL/1N/Housekeeping/L2/PT40S
bar_1n_l2_magn	yyyymmdd	BARREL/1N/Magnetometer/L2/PT0.25S
bar_1n_l2_mspc	yyyymmdd	BARREL/1N/MediumSpectra/L2/PT4S
bar_1n_l2_rcnt	yyyymmdd	BARREL/1N/RateCounter/L2/PT4S
bar_1n_l2_sspc	yyyymmdd	BARREL/1N/SlowSpectra/L2/PT32S
bar_1o_l2_ephm	yyyymmdd	BARREL/1O/Ephemeris/L2/PT4S
bar_1o_l2_fspc	yyyymmdd	BARREL/1O/FastSpectra/L2/PT0.05S
bar_1o_l2_hkpg	yyyymmdd	BARREL/1O/Housekeeping/L2/PT40S
bar_1o_l2_magn	yyyymmdd	BARREL/1O/Magnetometer/L2/PT0.25S
bar_1o_l2_mspc	yyyymmdd	BARREL/1O/MediumSpectra/L2/PT4S
bar_1o_l2_rcnt	yyyymmdd	BARREL/1O/RateCounter/L2/PT4S
bar_1o_l2_sspc	yyyymmdd	BARREL/1O/SlowSpectra/L2/PT32S
bar_1q_l2_ephm	yyyymmdd	BARREL/1Q/Ephemeris/L2/PT4S
bar_1q_l2_fspc	yyyymmdd	BARREL/1Q/FastSpectra/L2/PT0.05S
bar_1q_l2_hkpg	yyyymmdd	BARREL/1Q/Housekeeping/L2/PT40S
