		
		
		
		
		
000	access_rights	Open
001	access_rights	PartiallyRestricted
002	access_rights	Restricted
		
		
		
		
		
000	association_type	ChildEventOf
001	association_type	DerivedFrom
002	association_type	ObservedBy
003	association_type	Other
004	association_type	PartOf
005	association_type	RevisionOf
		
		
		
		
		
000	availability	Offline
001	availability	Online
		
		
		
		
		
000	coordinate_representation	Cartesian
001	coordinate_representation	Cylindrical
002	coordinate_representation	Spherical
		
		
		
		
		
000	coordinate_system_name	CGM
001	coordinate_system_name	CSO
002	coordinate_system_name	Carrington
003	coordinate_system_name	DM
004	coordinate_system_name	ECD
005	coordinate_system_name	ECEF
006	coordinate_system_name	ENP
007	coordinate_system_name	GEI
008	coordinate_system_name	GEO
009	coordinate_system_name	GPHIO
010	coordinate_system_name	GSE
011	coordinate_system_name	GSEQ
012	coordinate_system_name	GSM
013	coordinate_system_name	HAE
014	coordinate_system_name	HCC
015	coordinate_system_name	HCI
016	coordinate_system_name	HCR
017	coordinate_system_name	HEE
018	coordinate_system_name	HEEQ
019	coordinate_system_name	HERTN
020	coordinate_system_name	HG
021	coordinate_system_name	HGI
022	coordinate_system_name	HGRTN
023	coordinate_system_name	HPC
024	coordinate_system_name	HPR
025	coordinate_system_name	HSM
026	coordinate_system_name	J2000
027	coordinate_system_name	JSM
028	coordinate_system_name	JSO
029	coordinate_system_name	KSM
030	coordinate_system_name	KSO
031	coordinate_system_name	LGM
032	coordinate_system_name	MAG
033	coordinate_system_name	MFA
034	coordinate_system_name	MSO
035	coordinate_system_name	RTN
036	coordinate_system_name	SC
037	coordinate_system_name	SE
038	coordinate_system_name	SM
039	coordinate_system_name	SR
040	coordinate_system_name	SR2
041	coordinate_system_name	SSE
042	coordinate_system_name	SSE_L
043	coordinate_system_name	SpacecraftOrbitPlane
044	coordinate_system_name	TIIS
045	coordinate_system_name	VSO
046	coordinate_system_name	WGS84
		
		
		
		
		
000	display_type	Image
001	display_type	Plasmagram
002	display_type	Spectrogram
003	display_type	StackPlot
004	display_type	TimeSeries
005	display_type	WaveForm
		
		
		
		
		
000	encoding	ASCII
001	encoding	BZIP2
002	encoding	Base64
003	encoding	GZIP
004	encoding	None
005	encoding	S3_BUCKET
006	encoding	TAR
007	encoding	Unicode
008	encoding	ZIP
		
		
		
		
		
000	field_quantity	Current
001	field_quantity	Electric
002	field_quantity	Electromagnetic
003	field_quantity	Gyrofrequency
004	field_quantity	Magnetic
005	field_quantity	PlasmaFrequency
006	field_quantity	Potential
007	field_quantity	PoyntingFlux
		
		
		
		
		
000	format	AVI
001	format	Binary
002	format	CDF
003	format	CEF
004	format	CEF1
005	format	CEF2
006	format	CSV
007	format	Excel
008	format	FITS
009	format	GIF
010	format	HDF
011	format	HDF4
012	format	HDF5
013	format	HTML
014	format	Hardcopy
015	format	Hardcopy.Film
016	format	Hardcopy.Microfiche
017	format	Hardcopy.Microfilm
018	format	Hardcopy.Photograph
019	format	Hardcopy.PhotographicPlate
020	format	Hardcopy.Print
021	format	IDFS
022	format	IDL
023	format	JPEG
024	format	JSON
025	format	MATLAB_4
026	format	MATLAB_6
027	format	MATLAB_7
028	format	MPEG
029	format	NCAR
030	format	NetCDF
031	format	PDF
032	format	PNG
033	format	Postscript
034	format	QuickTime
035	format	TIFF
036	format	Text
037	format	Text.ASCII
038	format	Text.Unicode
039	format	UDF
040	format	VOTable
041	format	XML
		
		
		
		
		
000	measurement_type	ActivityIndex
001	measurement_type	Dopplergram
002	measurement_type	Dust
003	measurement_type	ElectricField
004	measurement_type	EnergeticParticles
005	measurement_type	Ephemeris
006	measurement_type	ImageIntensity
007	measurement_type	InstrumentStatus
008	measurement_type	IonComposition
009	measurement_type	Irradiance
010	measurement_type	MagneticField
011	measurement_type	Magnetogram
012	measurement_type	NeutralAtomImages
013	measurement_type	NeutralGas
014	measurement_type	Profile
015	measurement_type	Radiance
016	measurement_type	Spectrum
017	measurement_type	ThermalPlasma
018	measurement_type	Waves
019	measurement_type	Waves.Active
020	measurement_type	Waves.Passive
		
		
		
		
		
000	mixed_quantity	AkasofuEpsilon
001	mixed_quantity	AlfvenMachNumber
002	mixed_quantity	AlfvenVelocity
003	mixed_quantity	FrequencyToGyrofrequencyRatio
004	mixed_quantity	IMFClockAngle
005	mixed_quantity	MagnetosonicMachNumber
006	mixed_quantity	Other
007	mixed_quantity	PlasmaBeta
008	mixed_quantity	SolarUVFlux
009	mixed_quantity	TotalPressure
010	mixed_quantity	VCrossB
		
		
		
		
		
000	observed_region	Asteroid
001	observed_region	Comet
002	observed_region	Earth
003	observed_region	Earth.Magnetosheath
004	observed_region	Earth.Magnetosphere
005	observed_region	Earth.Magnetosphere.Magnetotail
006	observed_region	Earth.Magnetosphere.Main
007	observed_region	Earth.Magnetosphere.Polar
008	observed_region	Earth.Magnetosphere.RadiationBelt
009	observed_region	Earth.Moon
010	observed_region	Earth.NearSurface
011	observed_region	Earth.NearSurface.Atmosphere
012	observed_region	Earth.NearSurface.AuroralRegion
013	observed_region	Earth.NearSurface.EquatorialRegion
014	observed_region	Earth.NearSurface.Ionosphere
015	observed_region	Earth.NearSurface.Ionosphere.DRegion
016	observed_region	Earth.NearSurface.Ionosphere.ERegion
017	observed_region	Earth.NearSurface.Ionosphere.FRegion
018	observed_region	Earth.NearSurface.Ionosphere.Topside
019	observed_region	Earth.NearSurface.Mesosphere
020	observed_region	Earth.NearSurface.Plasmasphere
021	observed_region	Earth.NearSurface.PolarCap
022	observed_region	Earth.NearSurface.SouthAtlanticAnomalyRegion
