xml_prefix	data_product_id                                       	mission_name                                                                                             	mission_name_acronym     	instrument                                                                                                                                                                               	instrument_acronym                                 	instrument_detail                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           	processing_level  	processing_level_acronym	time_resolution                	relative_stop_date	hyphen	pi_name                                                                                                	pi_institution                                                                                                                                                                                                                      	xml_suffix
<dd>      	DE1_6SEC_MAGAGMS                                     	Dynamic Explorer 1                                                                                       	DE 1                     	Magnetic Field Observations Triaxial Fluxgate Magnetometer                                                                                                                               	MAG-A                                              	Geomagnetic Spherical (GMS) Coordinates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	                  	                        	 6       second                		-     	M. Sugiura                                                                                             	(NASA GSFC)                                                                                                                                                                                                                         	</dd>     
<dd>      	DE1_PWI_LFC-SPECTRA                                  	Dynamic Explorer 1                                                                                       	DE 1                     	Plasma Wave Instrument                                                                                                                                                                   	PWI                                                	Low-Frequency  Correlator (LFC) Electric and Magnetic Field Spectral Density                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	                  	                        	 0.25    second                		-     	D. Gurnett                                                                                             	(University of Iowa)                                                                                                                                                                                                                	</dd>     
<dd>      	DE1_PWI_OR-AT                                        	Dynamic Explorer 1                                                                                       	DE 1                     	Plasma Wave Instrument                                                                                                                                                                   	PWI                                                	Ephemeris and Attitude Parameter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	                  	                        	 8       second                		-     	D. Gurnett                                                                                             	(University of Iowa)                                                                                                                                                                                                                	</dd>     
<dd>      	DE1_PWI_SFC-SPECTRA                                  	Dynamic Explorer 1                                                                                       	DE 1                     	Plasma Wave Instrument                                                                                                                                                                   	PWI                                                	Step Frequency Correlator (SFC) Electric and Magnetic Field Spectral Density                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	                  	                        	 0.25    second                		-     	D. Gurnett                                                                                             	(University of Iowa)                                                                                                                                                                                                                	</dd>     
<dd>      	DE2_DUCT16MS_RPA                                     	Dynamic Explorer 2                                                                                       	DE 2                     	Retarding Potential Analyzer                                                                                                                                                             	RPA                                                	Total Ion Densities                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	                  	                        	 0.15625 second                		-     	R. Heelis                                                                                              	(University of Texas, Dallas)                                                                                                                                                                                                       	</dd>     
<dd>      	DE2_ION2S_RPA                                        	Dynamic Explorer 2                                                                                       	DE 2                     	Retarding Potential Analyzer                                                                                                                                                             	RPA                                                	Ion Temperature, Velocity and Densities (O+, H+, He+, Molecular)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	                  	                        	 2       second                		-     	R. Heelis                                                                                              	(University of Texas, Dallas)                                                                                                                                                                                                       	</dd>     
<dd>      	DE2_NEUTRAL1S_NACS                                   	Dynamic Explorer 2                                                                                       	DE 2                     	Neutral Atmosphere Composition Spectrometer                                                                                                                                              	NACS                                               	Ambient Densities and Error Rates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           	                  	                        	 1       second                		-     	N.W. Spencer                                                                                           	(NASA GSFC)                                                                                                                                                                                                                         	</dd>     
<dd>      	DE2_NEUTRAL8S_FPI                                    	Dynamic Explorer 2                                                                                       	DE 2                     	Fabry-Perot Interferometer                                                                                                                                                               	FPI                                                	Thermospheric Neutral Gas Density, Meridional Wind, and Temperature, 8 s Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	                  	                        	 8       second                		-     	R.J. Niciejewski                                                                                       	(University of Michigan)                                                                                                                                                                                                            	</dd>     
<dd>      	DE2_PLASMA500MS_LANG                                 	Dynamic Explorer 2                                                                                       	DE 2                     	Langmuir Probe Instrument                                                                                                                                                                	LANG                                               	Electron Temperature, Plasma Density and Satellite Potential                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	                  	                        	 0.5     second                		-     	L.H. Brace                                                                                             	(NASA GSFC)                                                                                                                                                                                                                         	</dd>     
<dd>      	DE2_UA16S_ALL                                        	Dynamic Explorer 2                                                                                       	DE 2                     	Combined Neutral and Plasma Unified Abstract                                                                                                                                             	UA                                                 	Data from the ACS, WATS, LANG, FPI and RPA/IDM Instruments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  	                  	                        	16       second                		-     	L.H. Brace                                                                                             	(NASA GSFC)                                                                                                                                                                                                                         	</dd>     
<dd>      	DE2_VION250MS_IDM                                    	Dynamic Explorer 2                                                                                       	DE 2                     	Ion Drift Meter                                                                                                                                                                          	IDM                                                	Cross Track Ion Drift Velocities                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	                  	                        	 0.25    second                		-     	R. Heelis                                                                                              	(University of Texas, Dallas)                                                                                                                                                                                                       	</dd>     
<dd>      	DE2_WIND2S_WATS                                      	Dynamic Explorer 2                                                                                       	DE 2                     	Wind and Temperature Spectrometer                                                                                                                                                        	WATS                                               	Neutral Densities, Temperature and Horizontal (zonal) Wind Velocity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	                  	                        	 2       second                		-     	N.W. Spencer                                                                                           	(NASA GSFC)                                                                                                                                                                                                                         	</dd>     
<dd>      	DE_UV_SAI                                            	Dynamic Explorer 1                                                                                       	DE 1                     	Spin-scan Auroral Imager                                                                                                                                                                 	SAI                                                	Ultraviolet Images                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	                  	                        	12       minute                		-     	L.A. Frank                                                                                             	(University of Iowa)                                                                                                                                                                                                                	</dd>     
<dd>      	DE_VS_EICS                                           	Dynamic Explorer 1                                                                                       	DE 1                     	Energetic Ion Composition Spectrometer                                                                                                                                                   	EICS                                               	Validated Summary Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      	                  	                        	96       second                		-     	E.G. Shelley                                                                                           	(Lockheed Martin)                                                                                                                                                                                                                   	</dd>     
<dd>      	DMSP-F15_SSM_MAGNETOMETER                            	Defense Meteorological Satellite Program                                                                 	DMSP F15                 	Special Sensor Magnetometer                                                                                                                                                              	SESS/SSM-Boom                                      	Magnetic Field Measurements taken at nominally 850 km Altitude using a 3-Axis Fluxgate Magnetometer.                                                                                                                                                                                                                                                                                                                                                                                                                                                        	                  	                        	1 second                       		-     	F. Rich, G. Wilson, D. Ober, R. Redmon, D. Knipp, L. Kilcommons, P. Alken                              	(Air Force Research Laboratory, National Geophysical Data Center, University of Colorado, Boulder)                                                                                                                                  	</dd>     
<dd>      	DMSP-F16_SSJ_PRECIPITATING-ELECTRONS-IONS            	Defense Meteorological Satellite Program                                                                 	DMSP F16                 	Special Sensor J                                                                                                                                                                         	SESS/SSJ5                                          	Precipitating Electrons and Ions Observed at 850 km, 1 s Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               	                  	                        	1 second                       		-     	R.J. Redmon, L.M. Kilcommons                                                                           	(Air Force Research Laboratory, National Geophysical Data Center, University of Colorado, Boulder)                                                                                                                                  	</dd>     
<dd>      	DMSP-F16_SSM_MAGNETOMETER                            	Defense Meteorological Satellite Program                                                                 	DMSP F16                 	Special Sensor Magnetometer                                                                                                                                                              	SESS/SSM-Boom                                      	Magnetic Field Measurements taken at 850 km, 1 s Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	                  	                        	1 second                       		-     	R.J. Redmon                                                                                            	(Air Force Research Laboratory, National Geophysical Data Center, University of Colorado, Boulder)                                                                                                                                  	</dd>     
<dd>      	DMSP-F17_SSJ_PRECIPITATING-ELECTRONS-IONS            	Defense Meteorological Satellite Program                                                                 	DMSP F17                 	Special Sensor J                                                                                                                                                                         	SESS/SSJ5                                          	Precipitating Electrons and Ions Observed at 850 km, 1 s Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               	                  	                        	1 second                       		-     	R.J. Redmon, L.M. Kilcommons                                                                           	(Air Force Research Laboratory, National Geophysical Data Center, University of Colorado, Boulder)                                                                                                                                  	</dd>     
<dd>      	DMSP-F17_SSM_MAGNETOMETER                            	Defense Meteorological Satellite Program                                                                 	DMSP F17                 	Special Sensor Magnetometer                                                                                                                                                              	SESS/SSM-Boom                                      	Magnetic Field Measurements taken at 850 km, 1 s Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	                  	                        	1 second                       		-     	R.J. Redmon                                                                                            	(Air Force Research Laboratory, National Geophysical Data Center, University of Colorado, Boulder)                                                                                                                                  	</dd>     
<dd>      	DMSP-F18_SSJ_PRECIPITATING-ELECTRONS-IONS            	Defense Meteorological Satellite Program                                                                 	DMSP F18                 	Special Sensor J                                                                                                                                                                         	SESS/SSJ5                                          	Precipitating Electrons and Ions Observed at 850 km, 1 s Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               	                  	                        	1 second                       		-     	R.J. Redmon, L.M. Kilcommons                                                                           	(Air Force Research Laboratory, National Geophysical Data Center, University of Colorado, Boulder)                                                                                                                                  	</dd>     
<dd>      	DMSP-F18_SSM_MAGNETOMETER                            	Defense Meteorological Satellite Program                                                                 	DMSP F18                 	Special Sensor Magnetometer                                                                                                                                                              	SESS/SSM-Boom                                      	Magnetic Field Measurements taken at 850 km, 1 s Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	                  	                        	1 second                       		-     	R.J. Redmon                                                                                            	(Air Force Research Laboratory, National Geophysical Data Center, University of Colorado, Boulder)                                                                                                                                  	</dd>     
<dd>      	DMSPF16_R0_SSUSI                                     	Links to Defense Meteorological Satellite Program                                                        	DMSP F16                 	Nadir Scanning Ultaviolet Imager, Spectrometer and Photometer                                                                                                                            	SSUSI                                              	NetCDF Data, KZM Image Files and Other Sources                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	                  	                        	                               		-     	L. Paxton                                                                                              	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	DMSPF17_R0_SSUSI                                     	Links to Defense Meteorological Satellite Program                                                        	DMSP F17                 	Nadir Scanning Ultaviolet Imager, Spectrometer and Photometer                                                                                                                            	SSUSI                                              	NetCDF Data, KZM Image Files and Other Sources                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	                  	                        	                               		-     	L. Paxton                                                                                              	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	DMSPF18_R0_SSUSI                                     	Links to Defense Meteorological Satellite Program                                                        	DMSP F18                 	Nadir Scanning Ultaviolet Imager, Spectrometer and Photometer                                                                                                                            	SSUSI                                              	NetCDF Data, KMZ Image Files and Other Sources                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	                  	                        	                               		-     	L. Paxton                                                                                              	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	DMSP_R0_SSIES                                        	Link  to Defense Meteorological Satellite Program                                                        	DMSP                     	Special Sensors-Ions, Electrons, and Scintillation                                                                                                                                       	SSIES                                              	Thermal Plasma Analysis Package Data Service                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	                  	                        	                               		-     	                                                                                                       	(Center for Space Sciences, University of Texas, Dallas)                                                                                                                                                                            	</dd>     
<dd>      	DMSP_R0_SSJ4                                         	Link  to Defense Meteorological Satellite Program                                                        	DMSP                     	Spacecraft Special Sensor J4                                                                                                                                                             	SSJ4                                               	Low Energy Electron/Ion Plots and Data at Johns Hopkins University, Applied Physics Laboratory                                                                                                                                                                                                                                                                                                                                                                                                                                                              	                  	                        	                               		-     	D.A. Hardy                                                                                             	(Air Force Research Laboratory)                                                                                                                                                                                                     	</dd>     
<dd>      	DN_K0_GBAY                                           	Super Dual Auroral Radar Network                                                                         	SuperDARN                	Goose Bay                                                                                                                                                                                	GBAY                                               	Ionospheric Convection Velocity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	Key Parameter     	(K0)                    	2 minute                       		-     	R. Greenwald                                                                                           	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	DN_K0_HANK                                           	Super Dual Auroral Radar Network                                                                         	SuperDARN                	Hankasalmi                                                                                                                                                                               	HAN                                                	Ionospheric Convection Velocity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	Key Parameter     	(K0)                    	2 minute                       		-     	R. Greenwald                                                                                           	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	DN_K0_ICEW                                           	Super Dual Auroral Radar Network                                                                         	SuperDARN                	Iceland West (Stokkseyri)                                                                                                                                                                	STO                                                	Ionospheric Convection Velocity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	Key Parameter     	(K0)                    	2 minute                       		-     	R. Greenwald                                                                                           	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	DN_K0_KAPU                                           	Super Dual Auroral Radar Network                                                                         	SuperDARN                	Kapuskasing                                                                                                                                                                              	KAPU                                               	Ionospheric Convection Velocity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	Key Parameter     	(K0)                    	2 minute                       		-     	R. Greenwald                                                                                           	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	DN_K0_PACE                                           	Super Dual Auroral Radar Network                                                                         	SuperDARN                	Polar Anglo-American Conjugate Experiment                                                                                                                                                	PACE                                               	Ionospheric Convection Velocity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	Key Parameter     	(K0)                    	2 minute                       		-     	R. Greenwald                                                                                           	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	DN_K0_PYKK                                           	Super Dual Auroral Radar Network                                                                         	SuperDARN                	Pykkvibaer                                                                                                                                                                               	PYK                                                	Ionospheric Convection Velocity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	Key Parameter     	(K0)                    	2 minute                       		-     	R. Greenwald                                                                                           	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	DN_K0_SASK                                           	Super Dual Auroral Radar Network                                                                         	SuperDARN                	Saskatoon                                                                                                                                                                                	SAS                                                	Ionospheric Convection Velocity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	Key Parameter     	(K0)                    	2 minute                       		-     	R. Greenwald                                                                                           	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
