ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	depend_2	dict_key	funct	labl_ptr_2	virtual
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	psp_swp_spe_sf0_l3_pad	LTCSNNNN_BITS	LTCSNNNN_BITS	LTCSNNNN_BITS					-1.0e+30	1.0e+30	nan	Epoch	F10.2	LTCSNNNN_BITS	ignore_data	time_series					linear						
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	psp_swp_spe_sf0_l3_pad	STATUS_BITS	STATUS_BITS	STATUS_BITS					-1.0e+30	1.0e+30	nan	Epoch	F10.2	STATUS_BITS	ignore_data	time_series					linear						
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	psp_swp_spe_sf0_l3_pad	PRODUCT_BITS	PRODUCT_BITS	PRODUCT_BITS					-1.0e+30	1.0e+30	nan	Epoch	F10.2	PRODUCT_BITS	ignore_data	time_series					linear						
ASTRO	CDF_UINT2	1	0:[]	T/	OOOOO	psp_swp_spe_sf0_l3_pad	MODE2	MODE2	MODE2					-1.0e+30	1.0e+30	nan	Epoch	F10.2	MODE2	ignore_data	time_series					linear						
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	psp_swp_spe_sf0_l3_pad	QUALITY_FLAG	Quality Flag	Quality Flag		good = 0			0	255	-1	Epoch	I10	Quality Flag	data	time_series					linear						
ASTRO	CDF_FLOAT	1	2:[12,32]	T/TT	OOOOO	psp_swp_spe_sf0_l3_pad	EFLUX_VS_PA_E	Eflux vs Pitch-angle and Energy	Differential Energy Flux vs Pitch-angle and Energy (images)	SPDF - turned of 2-d display in lieu of 2 virtual 1-d spectrogram displays	eV/cm2-s-ster-eV			0.001	1.0e+12	nan	Epoch	E12.2	Eflux vs PA-E	ignore_data	image		PITCHANGLE			log		ENERGY_VALS				
ASTRO	CDF_FLOAT	1	2:[12,32]	T/TT	OOOOO	psp_swp_spe_sf0_l3_pad	EFLUX_VS_PA_E_byE_atP	Eflux vs Pitch-angle and Energy	Differential Energy Flux vs Energy at Each Pitch Angle (spectrograms)		eV/cm2-s-ster-eV			0.001	1.0e+12	nan	Epoch	E12.2	Eflux vs PA-E	data	spectrogram&gt;y=ENERGY_VALS,z=EFLUX_VS_PA_E_byE_atP(^12,*)		PITCHANGLE	PITCH_LABL		log	EFLUX_VS_PA_E	ENERGY_VALS		alternate_view	ENERGY_LABL	true
ASTRO	CDF_FLOAT	1	2:[12,32]	T/TT	OOOOO	psp_swp_spe_sf0_l3_pad	EFLUX_VS_PA_E_atE_byP	Eflux vs Pitch-angle and Energy	Differential Energy Flux vs Pitch Angle at Each Energy Level (spectrograms)		eV/cm2-s-ster-eV			0.001	1.0e+12	nan	Epoch	E12.2	Eflux vs PA-E	data	spectrogram&gt;y=PITCHANGLE,z=EFLUX_VS_PA_E_atE_byP(*,^32)		PITCHANGLE	PITCH_LABL		log	EFLUX_VS_PA_E	ENERGY_VALS		alternate_view	ENERGY_LABL	true
ASTRO	CDF_FLOAT	1	1:[12]	T/T	OOOOO	psp_swp_spe_sf0_l3_pad	PITCHANGLE	Pitch Angle	Electron Pitch Angle		&#176;			0.0	180.0	nan	Epoch	F10.2	Pitch Angle	support_data	time_series					linear						
ASTRO	CDF_CHAR	10	1:[12]	F/T	OOOOO	psp_swp_spe_sf0_l3_pad	PITCH_LABL	Flux labels by pitch angle	Flux labels by pitch angle	SPDF added for labeling								a10		metadata									label			
ASTRO	CDF_FLOAT	1	1:[32]	T/T	OOOOO	psp_swp_spe_sf0_l3_pad	ENERGY_VALS	Energy	Energy		eV			0.01	100000.0	nan	Epoch	F10.2	Energy	support_data	time_series					log						
ASTRO	CDF_CHAR	15	1:[32]	F/T	OOOOO	psp_swp_spe_sf0_l3_pad	ENERGY_LABL	Flux labels by energy	Flux labels by energy	SPDF added for labeling								a15		metadata									label			
ASTRO	CDF_FLOAT	1	1:[32]	T/T	OOOOO	psp_swp_spe_sf0_l3_pad	EFLUX_VS_ENERGY	Eflux vs Energy	Differential Energy Flux vs Energy		eV/cm2-s-ster-eV			0.001	1.0e+12	nan	Epoch	E12.2	Eflux vs Energy	data	spectrogram		ENERGY_VALS	ENERGY_LABL		log						
ASTRO	CDF_INT2	1	2:[12,32]	T/TT	OOOOO	psp_swp_spe_sf0_l3_pad	SPX_VS_PA_E	SPX_VS_PA_E	SPX_VS_PA_E					-1.0e+30	1.0e+30	nan	Epoch	F10.2	SPX_VS_PA_E	ignore_data	time_series					linear						
ASTRO	CDF_INT2	1	2:[12,32]	T/TT	OOOOO	psp_swp_spe_sf0_l3_pad	NSAMPLE_VS_PA_E	NSAMPLE_VS_PA_E	NSAMPLE_VS_PA_E					-1.0e+30	1.0e+30	nan	Epoch	F10.2	NSAMPLE_VS_PA_E	ignore_data	time_series					linear						
ASTRO	CDF_FLOAT	1	1:[3]	T/T	OOOOO	psp_swp_spe_sf0_l3_pad	MAGF_SC	Magnetic Field	Magnetic Field in Spacecraft Coordinates	In spacecraft frame	nT			-10000.0	10000.0	nan	Epoch	F10.2		data	time_series			label_bsc		linear						
ASTRO	CDF_CHAR	7	1:[3]	F/T	OOOOO	psp_swp_spe_sf0_l3_pad	label_bsc	Label for B in SC coordinates										a7		metadata												
ASTRO	CDF_INT2	1	0:[]	T/	OOOOO	psp_swp_spe_sf0_l3_pad	VALID	VALID	VALID					-1.0e+30	1.0e+30	nan	Epoch	F10.2	VALID	ignore_data	time_series					linear						
ASTRO	CDF_INT2	1	0:[]	T/	OOOOO	psp_swp_spe_sf0_l3_pad	GAP	GAP	GAP					-1.0e+30	1.0e+30	nan	Epoch	F10.2	GAP	ignore_data	time_series					linear						
ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	depend_2	dict_key	funct	labl_ptr_2	virtual
