ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	dict_key	depend_2	funct	labl_ptr_2	virtual	arr_dim	arr_index	chan_name	delta_minus_var	delta_plus_var	flux_ptr	mnemonic	si_conversion	species	time_base	time_scale	variable_purpose	v_parent
ASTRO	CDF_FLOAT	1	1:[14]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_He_Rate	B_He_Rate	He count rate side B		counts s!E-1!N	0.0001	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	He rate B	support_data	spectrogram		He_ENERGY	He_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											B_He&gt;rate						
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	Epoch	Epoch	Default time		ns	2017-01-01T00:00:00.000000000	2025-01-01T00:00:00.000000000	1990-01-01T00:00:00.000000000	2029-12-31T23:59:59.999999000	9999-12-31T23:59:59.999999999			Time	support_data					INCREASE	linear		time&gt;epoch								Epoch_DELTA	Epoch_DELTA		Epoch	1e-9&gt;seconds		J2000	TT		
ASTRO	CDF_FLOAT	1	1:[14]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	He_ENERGY	He_ENERGY	Energy Bins for He		MeV/n			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				He_ENERGY_LABL		log										He_ENERGY_DELTAMINUS	He_ENERGY_DELTAPLUS		He_ENERGY						
ASTRO	CDF_CHAR	14	1:[14]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	He_ENERGY_LABL	He_ENERGY_LABL	He									A18		metadata																									
ASTRO	CDF_INT8	1	0:[]	F/	OOOOO	psp_isois-epihi_l2-het-rates10	Epoch_DELTA	Epoch_DELTA	Epoch_DELTA	One half integration time in nanoseconds. Used for DELTA in Epoch.	ns	0	86000000000000	0	86000000000000	-9223372036854775808		I14	Epoch DELTA	support_data	time_series					linear		time											Epoch_DELTA	1E-9&gt;seconds					
ASTRO	CDF_FLOAT	1	1:[14]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	He_ENERGY_DELTAMINUS	He_ENERGY_DELTAMINUS	Minus values for Energy Bins for He	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	He_ENERGY_DELTAMINUS	support_data						log																			
ASTRO	CDF_FLOAT	1	1:[14]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	He_ENERGY_DELTAPLUS	He_ENERGY_DELTAPLUS	Plus values for Energy Bins for He	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	He_ENERGY_DELTAPLUS	support_data						log																			
ASTRO	CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_H_Flux	A_H_Flux	H flux side A		cm!E-2!Nsr!E-1!Nsec!E-1!NMeV!E-1!N	0.0001	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	H flux A	data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number								A_H_Uncertainty	A_H_Uncertainty		A_H&gt;flux					PRIMARY_VAR,SUMMARY	
ASTRO	CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_H_Uncertainty	A_H_Uncertainty	H uncertainty side A		cm!E-2!Nsr!E-1!Nsec!E-1!NMeV!E-1!N	0.0001	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	H uncertainty A	support_data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											A_H&gt;uncertainty						
ASTRO	CDF_FLOAT	1	1:[13]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	H_ENERGY	H_ENERGY	Energy Bins for H		MeV			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				H_ENERGY_LABL		log										H_ENERGY_DELTAMINUS	H_ENERGY_DELTAPLUS		H_ENERGY						
ASTRO	CDF_CHAR	14	1:[13]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	H_ENERGY_LABL	H_ENERGY_LABL	H									A18		metadata																									
ASTRO	CDF_FLOAT	1	1:[13]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	H_ENERGY_DELTAMINUS	H_ENERGY_DELTAMINUS	Minus values for Energy Bins for  H	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	H_ENERGY_DELTAMINUS	support_data						log																			
ASTRO	CDF_FLOAT	1	1:[13]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	H_ENERGY_DELTAPLUS	H_ENERGY_DELTAPLUS	Plus values for Energy Bins for  H	[bin_top] - [geometric mean] of corresponding energy bin	MeV			0.0	1000.0	-1.0		F6.1	H_ENERGY_DELTAPLUS	support_data						log																			
ASTRO	CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_H_Flux	B_H_Flux	H flux side B		cm!E-2!Nsr!E-1!Nsec!E-1!NMeV!E-1!N	0.0001	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	H flux B	data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number								B_H_Uncertainty	B_H_Uncertainty		B_H&gt;flux					PRIMARY_VAR,SUMMARY	
ASTRO	CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_H_Uncertainty	B_H_Uncertainty	H uncertainty side B		cm!E-2!Nsr!E-1!Nsec!E-1!NMeV!E-1!N	0.0001	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	H uncertainty B	support_data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											B_H&gt;uncertainty						
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HCI_R	HCI_R	Spacecraft Position, Radial Distance at timestamp	Spacecraft position, radial distance at timestamp. See Franz and Harper, PSS, 2002.	ua	0.04	1.03	0.04	1.03	-1.0e+31	Epoch	F5.3	Pos_R	support_data						linear		position&gt;radial											HCI_R	1.495978E11&gt;m					
ASTRO	CDF_FLOAT	1	1:[14]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_He_Flux	B_He_Flux	He flux side B		cm!E-2!Nsr!E-1!Nsec!E-1!N(MeV/nuc)!E-1!N	0.0001	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	He flux B	data	spectrogram		He_ENERGY	He_ENERGY_LABL		log		particle_flux&gt;differential_directional_number								B_He_Uncertainty	B_He_Uncertainty		B_He&gt;flux					PRIMARY_VAR,SUMMARY	
ASTRO	CDF_FLOAT	1	1:[14]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_He_Uncertainty	B_He_Uncertainty	He uncertainty side B		cm!E-2!Nsr!E-1!Nsec!E-1!N(MeV/nuc)!E-1!N	0.0001	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	He uncertainty B	support_data	spectrogram		He_ENERGY	He_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											B_He&gt;uncertainty						
ASTRO	CDF_FLOAT	1	1:[18]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_Electrons_Rate	A_Electrons_Rate	Electrons count rate side A		counts s!E-1!N	0.0001	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	Electrons rate A	support_data	spectrogram		Electrons_ENERGY	Electrons_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											A_Electrons&gt;rate						
ASTRO	CDF_FLOAT	1	1:[18]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	Electrons_ENERGY	Electrons_ENERGY	Energy Bins for Electrons		MeV			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				Electrons_ENERGY_LABL		log										Electrons_ENERGY_DELTAMINUS	Electrons_ENERGY_DELTAPLUS		Electrons_ENERGY						
ASTRO	CDF_CHAR	14	1:[18]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	Electrons_ENERGY_LABL	Electrons_ENERGY_LABL	Electrons									A18		metadata																									
ASTRO	CDF_FLOAT	1	1:[18]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	Electrons_ENERGY_DELTAMINUS	Electrons_ENERGY_DELTAMINUS	Minus values for Energy Bins for Electrons	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Electrons_ENERGY_DELTAMINUS	support_data						log																			
ASTRO	CDF_FLOAT	1	1:[18]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	Electrons_ENERGY_DELTAPLUS	Electrons_ENERGY_DELTAPLUS	Plus values for Energy Bins for Electrons	[bin_top] - [geometric mean] of corresponding energy bin	MeV			0.0	1000.0	-1.0		F6.1	Electrons_ENERGY_DELTAPLUS	support_data						log																			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HGC_Lon	HGC_Lon	Spacecraft Position, Longitude at timestamp HGC	Spacecraft position, longitude at timestamp. See Franz and Harper, PSS, 2002.	&#176;	0.0	360.0	0.0	360.0	-1.0e+31	Epoch	F5.1	Pos_longitude	support_data						linear		position&gt;latitude											HGC_Lon						
ASTRO	CDF_FLOAT	1	1:[3]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	HET_A_RTN	HET_A_RTN	HET_A_RTN	Flow direction (Unit Vector) for each direction bin. [R,T,N]		-1.0	1.0	-1.0	1.0	-1.0e+31	Epoch	F6.3	Direction [R,T,N]	support_data				label_dir_RTN		linear		position&gt;direction											HET_A_RTN						
ASTRO	CDF_CHAR	1	1:[3]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	label_dir_RTN	label_dir_RTN	Label Direction RTN									A1	label dir RTN	metadata																			label_dir_RTN						
ASTRO	CDF_FLOAT	1	1:[3]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	HET_B_HCI	HET_B_HCI	HET_B_HCI	Flow direction (Unit Vector) for each direction bin. [x,y,z] HCI		-1.0	1.0	-1.0	1.0	-1.0e+31	Epoch	F6.3	Direction [x,y,z] HCI	support_data				label_dir_HCI		linear		position&gt;direction											HET_B_HCI						
ASTRO	CDF_CHAR	5	1:[3]	F/T	OOOOO	psp_isois-epihi_l2-het-rates10	label_dir_HCI	label_dir_HCI	Label Direction HCI									A5	label dir HCI	metadata																			label_dir_HCI						
ASTRO	CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_H_Rate	B_H_Rate	H count rate side B		counts s!E-1!N	0.0001	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	H rate B	support_data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											B_H&gt;rate						
ASTRO	CDF_FLOAT	1	1:[13]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_H_Rate	A_H_Rate	H count rate side A		counts s!E-1!N	0.0001	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	H rate A	support_data	spectrogram		H_ENERGY	H_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											A_H&gt;rate						
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HET_A_PA	HET_A_PA	HET_A_PA	Pitch Angle for each direction bin.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	Pitch	support_data						linear		position&gt;angle											HET_A_PA						
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HGC_Lat	HGC_Lat	Spacecraft Position, Latitude at timestamp HGC	Spacecraft position, latitude at timestamp. See Franz and Harper, PSS, 2002.	&#176;	-180.0	180.0	-180.0	180.0	-1.0e+31	Epoch	F6.1	Pos_latitude	support_data						linear		position&gt;latitude											HGC_Lat						
ASTRO	CDF_FLOAT	1	1:[3]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	HET_A_HCI	HET_A_HCI	HET_A_HCI	Flow direction (Unit Vector) for each direction bin. [x,y,z] HCI		-1.0	1.0	-1.0	1.0	-1.0e+31	Epoch	F6.3	Direction [x,y,z] HCI	support_data				label_dir_HCI		linear		position&gt;direction											HET_A_HCI						
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HGC_R	HGC_R	Spacecraft Position, Radial Distance at timestamp	Spacecraft position, radial distance at timestamp. See Franz and Harper, PSS, 2002.	ua	0.04	1.03	0.04	1.03	-1.0e+31	Epoch	F5.3	Pos_R	support_data						linear		position&gt;radial											HGC_R	1.495978E11&gt;m					
ASTRO	CDF_FLOAT	1	1:[14]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_He_Rate	A_He_Rate	He count rate side A		counts s!E-1!N	0.0001	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	He rate A	support_data	spectrogram		He_ENERGY	He_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											A_He&gt;rate						
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HCI_Lat	HCI_Lat	Spacecraft Position, Latitude at timestamp HCI	Spacecraft position, latitude at timestamp. See Franz and Harper, PSS, 2002.	&#176;	-180.0	180.0	-180.0	180.0	-1.0e+31	Epoch	F6.1	Pos_latitude	support_data						linear		position&gt;latitude											HCI_Lat						
ASTRO	CDF_FLOAT	1	1:[18]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	B_Electrons_Rate	B_Electrons_Rate	Electrons count rate side B		counts s!E-1!N	0.0001	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	Electrons rate B	support_data	spectrogram		Electrons_ENERGY	Electrons_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											B_Electrons&gt;rate						
ASTRO	CDF_FLOAT	1	1:[3]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	HET_B_RTN	HET_B_RTN	HET_B_RTN	Flow direction (Unit Vector) for each direction bin. [R,T,N]		-1.0	1.0	-1.0	1.0	-1.0e+31	Epoch	F6.3	Direction [R,T,N]	support_data				label_dir_RTN		linear		position&gt;direction											HET_B_RTN						
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HET_B_PA	HET_B_PA	HET_B_PA	Pitch Angle for each direction bin.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	Pitch	support_data						linear		position&gt;angle											HET_B_PA						
ASTRO	CDF_FLOAT	1	1:[14]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_He_Flux	A_He_Flux	He flux side A		cm!E-2!Nsr!E-1!Nsec!E-1!N(MeV/nuc)!E-1!N	0.0001	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	He flux A	data	spectrogram		He_ENERGY	He_ENERGY_LABL		log		particle_flux&gt;differential_directional_number								A_He_Uncertainty	A_He_Uncertainty		A_He&gt;flux					PRIMARY_VAR,SUMMARY	
ASTRO	CDF_FLOAT	1	1:[14]	T/T	OOOOO	psp_isois-epihi_l2-het-rates10	A_He_Uncertainty	A_He_Uncertainty	He uncertainty side A		cm!E-2!Nsr!E-1!Nsec!E-1!N(MeV/nuc)!E-1!N	0.0001	1000.0	0.0	1.0e+10	-1.0e+31	Epoch	F13.1	He uncertainty A	support_data	spectrogram		He_ENERGY	He_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											A_He&gt;uncertainty						
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HCI_Lon	HCI_Lon	Spacecraft Position, Longitude at timestamp HCI	Spacecraft position, longitude at timestamp. See Franz and Harper, PSS, 2002.	&#176;	0.0	360.0	0.0	360.0	-1.0e+31	Epoch	F5.1	Pos_longitude	support_data						linear		position&gt;latitude											HCI_Lon						
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HET_B_SA	HET_B_SA	Nominal Parker Spiral angle HETB	Angle between particle direction and nominal outward Parker Spiral, based on 400km/s solar wind and corotation breakdown at 10Rs.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	SA	support_data	time_series					linear		position&gt;angle											HET_B_SA						
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates10	HET_A_SA	HET_A_SA	Nominal Parker Spiral angle HETA	Angle between particle direction and nominal outward Parker Spiral, based on 400km/s solar wind and corotation breakdown at 10Rs.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	SA	support_data	time_series					linear		position&gt;angle											HET_A_SA						
ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	dict_key	depend_2	funct	labl_ptr_2	virtual	arr_dim	arr_index	chan_name	delta_minus_var	delta_plus_var	flux_ptr	mnemonic	si_conversion	species	time_base	time_scale	variable_purpose	v_parent
ASTRO	CDF_FLOAT	1	2:[1,25]	T/TT	OOOOO	psp_isois-epihi_l2-het-rates300	B_NetoSi_SECT_Rate	B_NetoSi_SECT_Rate	NetoSi sectored count rate side B		counts s!E-1!N	0.0001	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	NetoSi rate B	data	spectrogram		NetoSi_SECT_ENERGY	NetoSi_SECT_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate	HET_R17_SECTORS		HET_R17_SECTORS_LABL								B_NetoSi_SECT&gt;rate						
ASTRO	CDF_TT2000	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates300	Epoch	Epoch	Default time		ns	2017-01-01T00:00:00.000000000	2025-01-01T00:00:00.000000000	1990-01-01T00:00:00.000000000	2029-12-31T23:59:59.999999000	9999-12-31T23:59:59.999999999			Time	support_data					INCREASE	linear		time&gt;epoch								Epoch_DELTA	Epoch_DELTA		Epoch	1e-9&gt;seconds		J2000	TT		
ASTRO	CDF_FLOAT	1	1:[1]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	NetoSi_SECT_ENERGY	NetoSi_SECT_ENERGY	Energy Bins for NetoSi SECT	Bin characteristic energy.	MeV/n			0.0	1000.0	-1.0		F6.1	Energy	support_data						log										NetoSi_SECT_ENERGY_DELTAMINUS	NetoSi_SECT_ENERGY_DELTAPLUS								
ASTRO	CDF_CHAR	18	1:[1]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	NetoSi_SECT_ENERGY_LABL	NetoSi_SECT_ENERGY_LABL	Netosi Sect									A18		metadata																									
ASTRO	CDF_INT1	1	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	HET_R17_SECTORS	HET_R17_SECTORS	HET_R17_SECTORS					0	99			I2	sector	support_data						linear																			
ASTRO	CDF_CHAR	9	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	HET_R17_SECTORS_LABL	HET_R17_SECTORS_LABL	Sector labels									A9		metadata																									
ASTRO	CDF_INT8	1	0:[]	F/	OOOOO	psp_isois-epihi_l2-het-rates300	Epoch_DELTA	Epoch_DELTA	Epoch_DELTA	One half integration time in nanoseconds. Used for DELTA in Epoch.	ns	0	86000000000000	0	86000000000000	-9223372036854775808		I14	Epoch DELTA	support_data	time_series					linear		time											Epoch_DELTA	1E-9&gt;seconds					
ASTRO	CDF_FLOAT	1	1:[1]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	NetoSi_SECT_ENERGY_DELTAMINUS	NetoSi_SECT_ENERGY_DELTAMINUS	Minus values for Energy Bins for NetoSi SECT	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy lower extent	support_data						log																			
ASTRO	CDF_FLOAT	1	1:[1]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	NetoSi_SECT_ENERGY_DELTAPLUS	NetoSi_SECT_ENERGY_DELTAPLUS	Plus values for Energy Bins for NetoSi SECT	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy upper extent	support_data						log																			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates300	HET_B_SA	HET_B_SA	Nominal Parker spiral angle HET B	Angle between particle direction and nominal outward Parker spiral, based on 400km/s solar wind and corotation breakdown at 10Rs.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	SA	support_data	time_series					linear		position&gt;angle											HET_B_SA						
ASTRO	CDF_FLOAT	1	1:[25]	T/T	OOOOO	psp_isois-epihi_l2-het-rates300	HET_B_R17_SECT_SA	HET_B_R17_SECT_SA	Nominal Parker spiral angle HET B R17 SECT	Angle between particle direction and nominal outward Parker spiral, based on 400km/s solar wind and corotation breakdown at 10Rs.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	SA	support_data	time_series		HET_R17_SECTORS	HET_R17_SECTORS_LABL		linear		position&gt;angle											HET_B_R17_SECT_SA						
ASTRO	CDF_FLOAT	1	1:[25]	T/T	OOOOO	psp_isois-epihi_l2-het-rates300	HET_B_R17_SECT_PA	HET_B_R17_SECT_PA	HET_B_R17_SECT_PA	Pitch Angle for each direction bin.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	Pitch	support_data			HET_R17_SECTORS	HET_R17_SECTORS_LABL		linear		position&gt;angle											HET_B_R17_SECT_PA						
