Astro	CDF_UINT2	1	0:[]	T/	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	mapnum			Start Map Number	Sequential number 1 - 14 for six-month maps from IBEX Data Release 10		data											
Astro	CDF_UINT2	1	1:[30]	F/T	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	latitude_bin	Bin Number		Solar Ecliptic Latitude Bin Number	Solar Ecliptic Latitude Bin Number corresponding to six-degree latitudinal increments of the current IBEX-HI viewing sector		support_data											
Astro	CDF_UINT2	1	1:[60]	F/T	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	longitude_bin	Bin Number		Solar West Ecliptic Longitude Bin Number	Solar West Ecliptic Longitude Bin Number corresponding to six-degree longitudinal increments of the current IBEX-HI viewing sector		support_data											
Astro	CDF_REAL4	1	1:[30]	F/T	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Latitude	&#176;		Solar Ecliptic Latitude	Solar Ecliptic Latitude		support_data											
Astro	CDF_REAL4	1	1:[60]	F/T	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	West_Longitude	&#176;		Solar West Ecliptic Longitude	Solar West Ecliptic Longitude		support_data											
Astro	CDF_REAL4	1	1:[60]	F/T	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	East_Longitude	&#176;		Solar East Ecliptic Longitude	Solar East Ecliptic Longitude		support_data											
Astro	CDF_UINT2	1	0:[]	T/	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	orbit1			Starting Orbit Number	Starting Orbit Number of the measurement period		support_data											
Astro	CDF_UINT2	1	0:[]	T/	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	orbit2			Ending Orbit Number	Ending Orbit Number of the measurement period		support_data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Ener2	keV		IBEX-HI Energy Channel 2 (0.52-0.95 keV H) ~0.71 keV	Mid-Point Energy 0.71 keV of IBEX-Hi in Energy Channel 2 (0.52-0.95 keV H) - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Ener2_plasma	keV		IBEX-HI Energy Channel 2 (0.52-0.95 keV H) ~0.71 keV	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Flux2	ENAs/(cm2 s sr keV)		H ENA Differential Flux at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	Differential H ENA Flux (/cm2-s-sr-keV) in IBEX-Hi Energy Channel 2 (0.52-0.95 keV H) - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Flux2_plasma	ENAs/(cm2 s sr keV)		H ENA Differential Flux at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Flux2_movie	ENAs/(cm2 s sr keV)		H ENA Differential Flux at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	---&gt; Mapped Movie		data											
