map_hl_acs_00000000_v01.cdf	2005-09-16 13:48	59K
map_hl_cdh_00000000_v01.cdf	2005-09-16 13:48	52K
map_hl_pro_00000000_v01.cdf	2005-09-16 13:48	22K
map_hl_pse_00000000_v01.cdf	2005-09-16 13:48	34K
map_hl_rf_00000000_v01.cdf	2005-09-16 13:48	16K
noaa05_h0_sem_00000000_v01.cdf	2005-09-16 13:48	24K
noaa06_h0_sem_00000000_v01.cdf	2005-09-16 13:48	24K
noaa07_h0_sem_00000000_v01.cdf	2005-09-16 13:48	24K
noaa08_h0_sem_00000000_v01.cdf	2005-09-16 13:48	24K
noaa10_h0_sem_00000000_v01.cdf	2005-09-16 13:48	24K
noaa12_h0_sem_00000000_v01.cdf	2005-09-16 13:48	24K
ohzora_h0_hep_00000000_v01.cdf	2005-09-16 13:48	38K
po_6secSCpot_efi_00000000_v01.cdf	2005-09-16 13:49	12K
po_6secplasmaDen_efi_00000000_v01.cdf	2005-09-16 13:49	12K
po_c1_pix_00000000_v01.cdf	2005-09-16 13:49	27K
po_c2_pix_00000000_v01.cdf	2005-09-16 13:49	27K
po_c4_pix_00000000_v01.cdf	2005-09-16 13:49	28K
po_e1_pix_00000000_v01.cdf	2005-09-16 13:49	28K
po_e2_pix_00000000_v01.cdf	2005-09-16 13:49	27K
po_e3_pix_00000000_v01.cdf	2005-09-16 13:49	27K
po_e4_pix_00000000_v01.cdf	2005-09-16 13:49	27K
po_ha_pix_00000000_v01.cdf	2005-09-16 13:49	20K
po_hd_pix_00000000_v01.cdf	2005-09-16 13:49	16K
po_k0_tid_00000000_v01.cdf	2005-09-16 13:49	37K
po_k0_tim_00000000_v01.cdf	2005-09-16 13:49	66K
po_sd_pix_00000000_v01.cdf	2005-09-16 13:49	21K
s1_c9_s019_00000000_v01.cdf	2005-09-16 13:49	27K
s1_c9_sa19_00000000_v01.cdf	2005-09-16 13:49	32K
s1_ed_ep_00000000_v01.cdf	2005-09-16 13:49	30K
s2_ed_ep_00000000_v01.cdf	2005-09-16 13:49	30K
s3_c9_s037_00000000_v01.cdf	2005-09-16 13:49	27K
s3_c9_sa37_00000000_v01.cdf	2005-09-16 13:49	32K
s3_ed_ep_00000000_v01.cdf	2005-09-16 13:49	30K
s9_c9_s129_00000000_v01.cdf	2005-09-16 13:49	27K
s9_c9_sa29_00000000_v01.cdf	2005-09-16 13:49	32K
sc_c9_sc06_00000000_v01.cdf	2005-09-16 13:49	15K
sc_c9_sc08_00000000_v01.cdf	2005-09-16 13:50	12K
sc_c9_sc14_00000000_v01.cdf	2005-09-16 13:50	37K
sc_c9_sce0_00000000_v01.cdf	2005-09-16 13:50	18K
sc_c9_scmd_00000000_v01.cdf	2005-09-16 13:50	14K
sl_k0_210_00000000_v01.cdf	2005-09-16 13:50	81K
sl_k1_210_00000000_v01.cdf	2005-09-16 13:50	81K
sn_k0_gisr_00000000_v01.cdf	2005-09-16 13:50	33K
sn_k1_gisr_00000000_v01.cdf	2005-09-16 13:50	33K
so_h0_cst_00000000_v01.cdf	2005-09-16 13:50	22K
so_hk_cst_00000000_v01.cdf	2005-09-16 13:50	19K
t1_ed_ep_00000000_v01.cdf	2005-09-16 13:50	33K
t2_ed_ep_00000000_v01.cdf	2005-09-16 13:50	32K
t3_ed_ep_00000000_v01.cdf	2005-09-16 13:50	32K
timed_r0_saber_00000000_v01.cdf	2005-09-16 13:50	7.5K
timed_r0_see_00000000_v01.cdf	2005-09-16 13:50	7.5K
timed_r0_tidi_00000000_v01.cdf	2005-09-16 13:50	7.5K
uy_h0brt1_epac_00000000_v01.cdf	2005-09-16 13:50	15K
uy_h0brt2_epac_00000000_v01.cdf	2005-09-16 13:50	15K
uy_h0brt3_epac_00000000_v01.cdf	2005-09-16 13:50	15K
uy_h0brt4_epac_00000000_v01.cdf	2005-09-16 13:50	15K
uy_h0elt1_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0elt2_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0elt3_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0elt4_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0er_epac_00000000_v01.cdf	2005-09-16 13:50	15K
uy_h0hrt1s1_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt1s2_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt1s3_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt1s4_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt2s1_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt2s2_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt2s3_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt2s4_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt3s1_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt3s2_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt3s3_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt3s4_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt4s1_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt4s2_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt4s3_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hrt4s4_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0hst1s1_epac_00000000_v01.cdf	2005-09-16 13:50	15K
uy_h0hst1s2_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0hst1s3_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0hst1s4_epac_00000000_v01.cdf	2005-09-16 13:50	15K
uy_h0hst4s1_epac_00000000_v01.cdf	2005-09-16 13:50	15K
uy_h0hst4s2_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0hst4s3_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0hst4s4_epac_00000000_v01.cdf	2005-09-16 13:50	15K
uy_h0opt1_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0opt2_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0opt3_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0opt4_epac_00000000_v01.cdf	2005-09-16 13:50	13K
uy_h0prt2_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0prt3_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0zrt2_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_h0zrt3_epac_00000000_v01.cdf	2005-09-16 13:50	14K
uy_sp_let_00000000_v01.cdf	2005-09-16 13:51	16K
vi_c9_vi04_00000000_v01.cdf	2005-09-16 13:51	15K
vi_c9_vi05_00000000_v01.cdf	2005-09-16 13:51	24K
vi_c9_vi06_00000000_v01.cdf	2005-09-16 13:51	13K
vi_c9_vi2b_00000000_v01.cdf	2005-09-16 13:51	11K
vi_c9_vi2d_00000000_v01.cdf	2005-09-16 13:51	9.5K
vi_c9_vi2f_00000000_v01.cdf	2005-09-16 13:51	16K
vi_c9_vi2s_00000000_v01.cdf	2005-09-16 13:51	12K
vi_c9_vi3h_00000000_v01.cdf	2005-09-16 13:51	15K
vi_c9_vi3l_00000000_v01.cdf	2005-09-16 13:51	15K
vi_c9_vi5w_00000000_v01.cdf	2005-09-16 13:51	16K
vi_c9_vimd_00000000_v01.cdf	2005-09-16 13:51	14K
voyager1_1hr_mfi_00000000_v01.cdf	2005-09-16 13:51	15K
voyager2_1hr_mfi_00000000_v01.cdf	2005-09-16 13:51	15K
wi_h1_mfi_00000000_v01.cdf	2005-09-16 13:51	32K
wi_h9_mfi_00000000_v01.cdf	2005-09-16 13:51	23K
xi_c9_xisy_00000000_v01.cdf	2005-09-16 13:51	26K
xs_c9_xssh_00000000_v01.cdf	2005-09-16 13:51	13K
xs_c9_xssl_00000000_v01.cdf	2005-09-16 13:51	13K
xs_c9_xsy1_00000000_v01.cdf	2005-09-16 13:51	12K
xv_c9_xvis_00000000_v01.cdf	2005-09-16 13:51	23K
za_c9_zae_00000000_v01.cdf	2005-09-16 13:51	16K
zc_c9_zcf_00000000_v01.cdf	2005-09-16 13:51	13K
ze_c9_zei_00000000_v01.cdf	2005-09-16 13:51	18K
zf_c9_zfi_00000000_v01.cdf	2005-09-16 13:51	20K
zh_c9_zha_00000000_v01.cdf	2005-09-16 13:51	12K
zh_c9_zhu_00000000_v01.cdf	2005-09-16 13:51	13K
zi_c9_ziq_00000000_v01.cdf	2005-09-16 13:51	13K
zi_c9_ziva_00000000_v01.cdf	2005-09-16 13:51	11K
zk_c9_zkil_00000000_v01.cdf	2005-09-16 13:51	10K
zm_c9_zmc_00000000_v01.cdf	2005-09-16 13:51	18K
zn_c9_zng_00000000_v01.cdf	2005-09-16 13:51	79K
zo_c9_zona_00000000_v01.cdf	2005-09-16 13:51	10K
zr_c9_zrg_00000000_v01.cdf	2005-09-16 13:51	61K
zr_c9_zrov_00000000_v01.cdf	2005-09-16 13:51	11K
zs_c9_zsa_00000000_v01.cdf	2005-09-16 13:51	13K
zs_c9_zsi_00000000_v01.cdf	2005-09-16 13:51	21K
zs_c9_zsp_00000000_v01.cdf	2005-09-16 13:51	25K
zs_c9_zssr_00000000_v01.cdf	2005-09-16 13:51	26K
zs_c9_zsym_00000000_v01.cdf	2005-09-16 13:51	21K
zw_c9_zwe_00000000_v01.cdf	2005-09-16 13:51	11K
po_k0_vis_azi_geomag_movies_00000000_v01.cdf	2006-03-10 16:24	30K
po_k0_vis_azi_geograph_movies_00000000_v01.cdf	2006-03-10 16:24	30K
po_k0_vis_geograph_movies_00000000_v01.cdf	2006-03-10 16:24	30K
po_k0_vis_unreg_movies_00000000_v01.cdf	2006-03-10 16:24	30K
po_k0_vis_qgeograph_movies_00000000_v01.cdf	2006-03-22 09:54	30K
po_k0_vis_qunreg_movies_00000000_v01.cdf	2006-03-22 09:54	30K
po_k0_vis_qazi_geograph_movies_00000000_v01.cdf	2006-03-22 09:54	30K
po_k0_vis_qazi_geomag_movies_00000000_v01.cdf	2006-03-22 09:55	30K
splitvc3_46comb_ep16_00000000_v01.cdf	2006-09-07 08:36	19K
themis3_or_ssc_00000000_v01.cdf	2006-09-07 08:36	16K
splitvc0_405_mag_00000000_v01.cdf	2006-09-07 08:36	12K
splitvc3_44d_fft_00000000_v01.cdf	2006-09-07 08:36	14K
splitvc3_441_efp_00000000_v01.cdf	2006-09-07 08:36	14K
splitvc3_xyzcomb_mag_00000000_v01.cdf	2006-09-07 08:36	29K
splitvc3_456_esa_00000000_v01.cdf	2006-09-07 08:36	12K
themis1_or_ssc_00000000_v01.cdf	2006-09-07 08:36	16K
splitvc3_46comb_mag_00000000_v01.cdf	2006-09-07 08:36	18K
themis5_or_ssc_00000000_v01.cdf	2006-09-07 08:36	16K
themis2_or_ssc_00000000_v01.cdf	2006-09-07 08:36	16K
themis4_or_ssc_00000000_v01.cdf	2006-09-07 08:36	16K
timed_l3a_seev09_00000000_v01.cdf	2007-08-30 10:21	39K
gps_r0_ucar_00000000_v01.cdf	2007-09-12 14:56	7.5K
gps_r0_jplgim_00000000_v01.cdf	2007-09-13 10:53	7.8K
timed_l2a_saber_00000000_v01.cdf	2008-03-04 09:14	78K
voyager1_1hr_mag_00000000_v01.cdf	2008-04-14 10:00	30K
voyager2_1hr_mag_00000000_v01.cdf	2008-04-14 10:01	30K
fa_k0_ees_00000000_v01.cdf	2008-05-22 13:33	78K
po_h1_tim_00000000_v01.cdf	2008-05-29 12:29	100K
sta_l1_mag_00000000_v01.cdf	2008-07-31 13:37	27K
stb_l1_mag_00000000_v01.cdf	2008-07-31 13:39	27K
isee1_1min_proton_fpe_00000000_v01.cdf	2008-08-05 14:28	33K
