ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fvar5	(cm^2 s sr eV)^-2	3.89577e-25&gt;(m^2 s sr J)^-2	Hydrogen, H, ENA Flux Variance, IBEX-Lo Energy Channel 5, center energy 0.209 keV, mapped	Hydrogen, H, Energetic Neutral Atom, ENA, Flux Variance for IBEX-Lo Energy Channel 5, center energy 0.209 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Differential Variance	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fvar5_plasma	(cm^2 s sr eV)^-2	3.89577e-25&gt;(m^2 s sr J)^-2	Hydrogen, H, ENA Flux Variance, IBEX-Lo Energy Channel 5, center energy 0.209 keV, x-y map	Hydrogen, H, Energetic Neutral Atom, ENA, Flux Variance for IBEX-Lo Energy Channel 5, center energy 0.209 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Differential Variance	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fexp5	s		Hydrogen, H, ENA Total Exposure Time, center energy 0.209 keV, IBEX-Lo Energy Channel 5 mapped	Hydrogen, H, Energetic Neutral Atom, ENA, Total Exposure Time for IBEX-Lo Energy Channel 5, center energy 0.209 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.		Support		Temporal	Array Magnitude								
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fexp5_plasma	s		Hydrogen, H, ENA Total Exposure Time, center energy 0.209 keV, IBEX-Lo Energy Channel 5 x-y map	Hydrogen, H, Energetic Neutral Atom, ENA, Total Exposure Time for IBEX-Lo Energy Channel 5, center energy 0.209 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.		Support		Temporal	Array Magnitude								
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Cnts5			Hydrogen, H, ENA Total Counts, IBEX-Lo Energy Channel 5, center energy 0.209 keV, mapped	Hydrogen, H, Energetic Neutral Atom, ENA, Total Counts for IBEX-Lo Energy Channel 5, center energy 0.209 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	Counts	Array Magnitude	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Cnts5_plasma			Hydrogen, H, ENA Total Counts, IBEX-Lo Energy Channel 5, center energy 0.209 keV, x-y map	Hydrogen, H, Energetic Neutral Atom, ENA, Total Counts for IBEX-Lo Energy Channel 5, center energy 0.209 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	Counts	Array Magnitude	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Numb5			Samples Per Pixel, IBEX-Lo Energy Channel 5, center energy 0.209 keV, mapped	Samples per Pixel, averaged over a 1 year time interval for IBEX-Lo Energy Channel 5, center energy 0.209 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.		Support		Other	Array Magnitude								
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Numb5_plasma			Samples Per Pixel, IBEX-Lo Energy Channel 5, center energy 0.209 keV, x-y map	Samples per Pixel, averaged over a 1 year time interval for IBEX-Lo Energy Channel 5, center energy 0.209 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.		Support		Other	Array Magnitude								
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Ener6	keV	1.602176565e-16&gt;J	Mid-Point Energy, IBEX-Lo Energy Channel 6, center energy 0.439 keV, mapped	Mid-Point Energy for IBEX-Lo Energy Channel 6, center energy 0.439 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	Energy	Array Magnitude	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Ener6_plasma	keV	1.602176565e-16&gt;J	Mid-Point Energy, IBEX-Lo Energy Channel 6, center energy 0.439 keV, x-y map	Mid-Point Energy for IBEX-Lo Energy Channel 6, center energy 0.439 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	Energy	Array Magnitude	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Flux6	(cm^2 s sr eV)^-1	6.24161e-13&gt;(m^2 s sr J)^-1	Hydrogen, H, ENA Differential Flux, IBEX-Lo Energy Channel 6, center energy 0.439 keV, mapped	Hydrogen, H, Energetic Neutral Atom, ENA, Differential Flux for IBEX-Lo Energy Channel 6, center energy 0.439 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Differential	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Flux6_plasma	(cm^2 s sr eV)^-1	6.24161e-13&gt;(m^2 s sr J)^-1	Hydrogen, H, ENA Differential Flux, IBEX-Lo Energy Channel 6, center energy 0.439 keV, x-y map	Hydrogen, H, Energetic Neutral Atom, ENA, Differential Flux for IBEX-Lo Energy Channel 6, center energy 0.439 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Differential	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fsnr6			Hydrogen, H, ENA Signal to Noise Ratio, IBEX-Lo Energy Channel 6, center energy 0.439 keV, mapped	Hydrogen, H, Energetic Neutral Atom, ENA, Signal to Noise Ratio for IBEX-Lo Energy Channel 6, center energy 0.439 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Ratio Uncertainty	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fsnr6_plasma			Hydrogen, H, ENA Signal to Noise Ratio, IBEX-Lo Energy Channel 6, center energy 0.439 keV, x-y map	Hydrogen, H, Energetic Neutral Atom, ENA, Signal to Noise Ratio for IBEX-Lo Energy Channel 6, center energy 0.439 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Ratio Uncertainty	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fvar6	(cm^2 s sr eV)^-2	3.89577e-25&gt;(m^2 s sr J)^-2	Hydrogen, H, ENA Flux Variance, IBEX-Lo Energy Channel 6, center energy 0.439 keV, mapped	Hydrogen, H, Energetic Neutral Atom, ENA, Flux Variance for IBEX-Lo Energy Channel 6, center energy 0.439 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Differential Variance	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fvar6_plasma	(cm^2 s sr eV)^-2	3.89577e-25&gt;(m^2 s sr J)^-2	Hydrogen, H, ENA Flux Variance, IBEX-Lo Energy Channel 6, center energy 0.439 keV, x-y map	Hydrogen, H, Energetic Neutral Atom, ENA, Flux Variance for IBEX-Lo Energy Channel 6, center energy 0.439 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Differential Variance	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fexp6	s		Hydrogen, H, ENA Total Exposure Time, center energy 0.439 keV, IBEX-Lo Energy Channel 6 mapped	Hydrogen, H, Energetic Neutral Atom, ENA, Total Exposure Time for IBEX-Lo Energy Channel 6, center energy 0.439 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.		Support		Temporal	Array Magnitude								
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Fexp6_plasma	s		Hydrogen, H, ENA Total Exposure Time, center energy 0.439 keV, IBEX-Lo Energy Channel 6 x-y map	Hydrogen, H, Energetic Neutral Atom, ENA, Total Exposure Time for IBEX-Lo Energy Channel 6, center energy 0.439 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.		Support		Temporal	Array Magnitude								
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Cnts6			Hydrogen, H, ENA Total Counts, IBEX-Lo Energy Channel 6, center energy 0.439 keV, mapped	Hydrogen, H, Energetic Neutral Atom, ENA, Total Counts for IBEX-Lo Energy Channel 6, center energy 0.439 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	Counts	Array Magnitude	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Cnts6_plasma			Hydrogen, H, ENA Total Counts, IBEX-Lo Energy Channel 6, center energy 0.439 keV, x-y map	Hydrogen, H, Energetic Neutral Atom, ENA, Total Counts for IBEX-Lo Energy Channel 6, center energy 0.439 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	Counts	Array Magnitude	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Numb6			Samples Per Pixel, IBEX-Lo Energy Channel 6, center energy 0.439 keV, mapped	Samples per Pixel, averaged over a 1 year time interval for IBEX-Lo Energy Channel 6, center energy 0.439 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.		Support		Other	Array Magnitude								
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Numb6_plasma			Samples Per Pixel, IBEX-Lo Energy Channel 6, center energy 0.439 keV, x-y map	Samples per Pixel, averaged over a 1 year time interval for IBEX-Lo Energy Channel 6, center energy 0.439 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.		Support		Other	Array Magnitude								
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Ener7	keV	1.602176565e-16&gt;J	Mid-Point Energy, IBEX-Lo Energy Channel 7, center energy 0.872 keV, mapped	Mid-Point Energy for IBEX-Lo Energy Channel 7, center energy 0.872 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	Energy	Array Magnitude	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Ener7_plasma	keV	1.602176565e-16&gt;J	Mid-Point Energy, IBEX-Lo Energy Channel 7, center energy 0.872 keV, x-y map	Mid-Point Energy for IBEX-Lo Energy Channel 7, center energy 0.872 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	Energy	Array Magnitude	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Flux7	(cm^2 s sr eV)^-1	6.24161e-13&gt;(m^2 s sr J)^-1	Hydrogen, H, ENA Differential Flux, IBEX-Lo Energy Channel 7, center energy 0.872 keV, mapped	Hydrogen, H, Energetic Neutral Atom, ENA, Differential Flux for IBEX-Lo Energy Channel 7, center energy 0.872 keV, Mollweide map projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Differential	IBEX/Lo							
ibex_h3_ena_lo_r10_nocg_nosp_omni_7yr	Flux7_plasma	(cm^2 s sr eV)^-1	6.24161e-13&gt;(m^2 s sr J)^-1	Hydrogen, H, ENA Differential Flux, IBEX-Lo Energy Channel 7, center energy 0.872 keV, x-y map	Hydrogen, H, Energetic Neutral Atom, ENA, Differential Flux for IBEX-Lo Energy Channel 7, center energy 0.872 keV, rectangular west latitude-longitude projection. The energy resolution, &#916;E/E, is equal to 0.8 for all channels.	EnergeticParticles	Particle	Atom	NumberFlux	Array Magnitude Differential	IBEX/Lo							
