cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	dict_key	depend_2	funct	labl_ptr_2	virtual	arr_dim	arr_index	chan_name	delta_minus_var	delta_plus_var	flux_ptr	mnemonic	si_conversion	species	time_base	time_scale	variable_purpose	v_parent
CDF_FLOAT	1	1:[3]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	R25_He_SECT_ENERGY_DELTAMINUS	R25_He_SECT_ENERGY_DELTAMINUS	Minus values for Energy Bins for R25 He SECT	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy lower extent	support_data						log																			
CDF_FLOAT	1	1:[3]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	R25_He_SECT_ENERGY_DELTAPLUS	R25_He_SECT_ENERGY_DELTAPLUS	Plus values for Energy Bins for R25 He SECT	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy upper extent	support_data						log																			
CDF_FLOAT	1	2:[1,9]	T/TT	OOOOO	psp_isois-epihi_l2-let2-rates60	R1C_H_SECT_Rate	R1C_H_SECT_Rate	H sectored count rate R1C		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	H rate R1C	data	spectrogram		R1_H_SECT_ENERGY	R1_H_SECT_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate	LET2_R1_SECTORS		LET2_R1_SECTORS_LABL								R1C_H_SECT&gt;rate						
CDF_FLOAT	1	2:[25,3]	T/TT	OOOOO	psp_isois-epihi_l2-let2-rates60	LET2_C_R25_SECT_RTN	LET2_C_R25_SECT_RTN	RTN flow direction LET2CR25SECT	Unit vector, after Fraenz and Harper, PSS, 2002.		-1.0	1.0	-1.0	1.0	-1.0e+31	Epoch	F6.3	Direction [R,T,N]	data	time_series		LET2_R25_SECTORS	LET2_R25_SECTORS_LABL		linear		position&gt;direction			label_dir_RTN								LET2_C_R25_SECT_RTN						
CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-let2-rates60	HGC_R	HGC_R	Heliocentric distance	At timestamp. After Fraenz and Harper, PSS, 2002.	ua	0.04	1.03	0.04	1.03	-1.0e+31	Epoch	F5.3	R	data	time_series					linear		position&gt;radial											HGC_R	1.495978E11&gt;m					
CDF_FLOAT	1	1:[25]	T/T	OOOOO	psp_isois-epihi_l2-let2-rates60	LET2_C_R25_SECT_PA	LET2_C_R25_SECT_PA	Pitch angle LET2CR25SECT		&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	PA	data	time_series		LET2_R25_SECTORS	LET2_R25_SECTORS_LABL		linear		position&gt;angle											LET2_C_R25_SECT_PA						
CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-let2-rates60	HCI_Lat	HCI_Lat	HCI latitude	At timestamp. After Fraenz and Harper, PSS, 2002.	&#176;	-180.0	180.0	-180.0	180.0	-1.0e+31	Epoch	F6.1	HCI latitude	data	time_series					linear		position&gt;latitude											HCI_Lat						
CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-let2-rates60	LET2_C_PA	LET2_C_PA	Pitch angle LET2C		&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	PA	data	time_series					linear		position&gt;angle											LET2_C_PA						
CDF_FLOAT	1	1:[32]	T/T	OOOOO	psp_isois-epihi_l2-let2-rates60	C_Ni_Rate	C_Ni_Rate	Ni count rate side C		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	Ni rate C	data	spectrogram		Ni_ENERGY	Ni_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											C_Ni&gt;rate						
CDF_FLOAT	1	1:[32]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ni_ENERGY	Ni_ENERGY	Energy Bins for Ni		MeV/n			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				Ni_ENERGY_LABL		log										Ni_ENERGY_DELTAMINUS	Ni_ENERGY_DELTAPLUS		Ni_ENERGY						
CDF_CHAR	21	1:[32]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ni_ENERGY_LABL	Ni_ENERGY_LABL	Ni									A21		metadata																									
CDF_FLOAT	1	1:[32]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ni_ENERGY_DELTAMINUS	Ni_ENERGY_DELTAMINUS	Minus values for Energy Bins for Ni	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Ni ENERGY DELTAMINUS	support_data						log																			
CDF_FLOAT	1	1:[32]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ni_ENERGY_DELTAPLUS	Ni_ENERGY_DELTAPLUS	Plus values for Energy Bins for Ni	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Ni ENERGY DELTAPLUS	support_data						log																			
