Data Product ID/Product Key	SPASE Resource ID Stub	DOI, full URL Format	Publication Date	Publisher	Authors
PSP_FLD_L2_DFB_DC_XSPEC_SCMDLFHG_SCMELFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/CrossSpectra/SCM/D-E/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/krzj-sw31	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_XSPEC_SCMDLFHG_SCMFLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/CrossSpectra/SCM/D-F/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/j3dc-kr21	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_XSPEC_SCMELFHG_SCMFLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/CrossSpectra/SCM/E-F/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/x8yt-7b32	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_XSPEC_SCMVLFHG_SCMWLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/CrossSpectra/SCM/V-W/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/4sc7-7454	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_SPEC_DV12HG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/Spectra/DV12/HighGain/PT6.99054S	https://doi.org/10.48322/zqz0-3j38	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_SPEC_SCMDLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/Spectra/SCM/D/LowFrequency/HighGain/PT6.99054S	https://doi.org/10.48322/nf08-v237	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_SPEC_SCMELFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/Spectra/SCM/E/LowFrequency/HighGain/PT6.99054S	https://doi.org/10.48322/s9kz-nb55	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_SPEC_SCMFLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/Spectra/SCM/F/LowFrequency/HighGain/PT6.99054S	https://doi.org/10.48322/gn7g-y542	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_SPEC_SCMULFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/Spectra/SCM/U/LowFrequency/HighGain/PT6.99054S	https://doi.org/10.48322/0cwt-mw28	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_SPEC_SCMVLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/Spectra/SCM/V/LowFrequency/HighGain/PT6.99054S	https://doi.org/10.48322/hvzj-4k68	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DC_SPEC_SCMWLFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/DC/Spectra/SCM/W/LowFrequency/HighGain/PT6.99054S	https://doi.org/10.48322/pakh-kk30	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_WF_DVDC	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/Waveform/DC/DifferentialVoltage/PT0.003413S	https://doi.org/10.48322/fdh3-5n37	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_WF_VDC	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/Waveform/DC/SingleEndedVoltage/PT0.027306S	https://doi.org/10.48322/qhgy-hm62	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_WF_SCM	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/Waveform/SCM/PT0.003413S	https://doi.org/10.48322/h34r-jn18	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Goetz, Keith; &amp; Lynch, Joshua J.
PSP_FLD_L2_F2_100BPS	NASA/NumericalData/ParkerSolarProbe/FIELDS/FIELDS2/Level2/SummaryTelemetry/PT8S	https://doi.org/10.48322/8khn-cs70	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Goetz, Keith; &amp; Lynch, Joshua J.
PSP_FLD_L2_MAG_RTN_4_SA_PER_CYC	NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/RTN/4SamplesPerCycle/PT0.003413S	https://doi.org/10.48322/wqcs-a534	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Macdowall, Robert J.; Koval, Andriy; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_MAG_RTN	NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/RTN/FullResolution/PT0.003413S	https://doi.org/10.48322/0yy0-ba92	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Macdowall, Robert J.; Koval, Andriy; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_MAG_RTN_1MIN	NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/RTN/PT1M	https://doi.org/10.48322/c0zj-xf76	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Macdowall, Robert J.; Koval, Andriy; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_MAG_SC_4_SA_PER_CYC	NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/SC/4SamplesPerCycle/PT0.003413S	https://doi.org/10.48322/pq4w-8z67	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Macdowall, Robert J.; Koval, Andriy; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_MAG_SC	NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/SC/FullResolution/PT0.003413S	https://doi.org/10.48322/8fc4-fq16	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Macdowall, Robert J.; Koval, Andriy; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_MAG_SC_1MIN	NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/SC/PT1M	https://doi.org/10.48322/7hrp-ya88	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Macdowall, Robert J.; Koval, Andriy; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_RFS_HFR	NASA/NumericalData/ParkerSolarProbe/FIELDS/RFS/Level2/HFR/PT7S	https://doi.org/10.48322/gf9t-4082	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Pulupa, Marc P.; Harvey, Peter R.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_RFS_LFR	NASA/NumericalData/ParkerSolarProbe/FIELDS/RFS/Level2/LFR/PT7S	https://doi.org/10.48322/re4h-tk40	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Pulupa, Marc P.; Harvey, Peter R.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_HELIO1DAY_POSITION	NASA/NumericalData/ParkerSolarProbe/HelioWeb/Ephemeris/P1D	https://doi.org/10.48322/41s1-hx58	2020-01-01T00:00:00	NASA Space Physics Data Facility	Papitashvili, Natalia E.
PSP_ISOIS-EPIHI_L2-HET-RATES10	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/HET/Level2/Rates/PT10S	https://doi.org/10.48322/6b2f-mx69	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-HET-RATES300	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/HET/Level2/Rates/PT5M	https://doi.org/10.48322/jwkm-bn55	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-HET-RATES3600	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/HET/Level2/Rates/PT1H	https://doi.org/10.48322/ahkk-d044	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-HET-RATES60	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/HET/Level2/Rates/PT1M	https://doi.org/10.48322/7gr7-1791	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-LET1-RATES10	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/LET1/Level2/Rates/PT10S	https://doi.org/10.48322/nez9-cx16	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-LET1-RATES300	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/LET1/Level2/Rates/PT5M	https://doi.org/10.48322/53vk-b987	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-LET1-RATES3600	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/LET1/Level2/Rates/PT1H	https://doi.org/10.48322/xkhj-qx02	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-LET1-RATES60	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/LET1/Level2/Rates/PT1M	https://doi.org/10.48322/97te-0132	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-LET2-RATES10	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/LET2/Level2/Rates/PT10S	https://doi.org/10.48322/7853-6s02	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-LET2-RATES300	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/LET2/Level2/Rates/PT5M	https://doi.org/10.48322/k5z7-rv23	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-LET2-RATES3600	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/LET2/Level2/Rates/PT1H	https://doi.org/10.48322/2xj3-hj37	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
PSP_ISOIS-EPIHI_L2-LET2-RATES60	NASA/NumericalData/ParkerSolarProbe/ISOIS/EPI-Hi/LET2/Level2/Rates/PT1M	https://doi.org/10.48322/54ew-zj36	2020-01-01T00:00:00	NASA Space Physics Data Facility	McComas, David J.
