ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	var_type	ucd	units	unit_ptr	detector	si_conversion	cadence	resolution	acc_time	time_base	time_scale	integration_time	depend_0	depend_1	depend_2	display_type	format	lablaxis	labl_ptr_1	label	coordinate_system	frame_origin	frame_velocity	reference_position	representation_1	representation_2	tensor_order	fillval	scalemax	scalemin	scaletyp	scaletype	validmax	validmin	bin_location	delta_minus_var	delta_plus_var	monoton
ASTRO	CDF_UINT1	1	1:[15]	T/T	OOOOO	solo_l1_rpw-tnr-surv	RPW_STATUS	RPW_STATUS	Status parameters of RPW sub-systems	Status of 15 RPW sub-systems.	support_data												Epoch			time_series	I1.1	RPW sub-system status	RPW_STATUS_LABEL									255	1	0	linear		1	0				
ASTRO	CDF_UINT1	1	1:[4]	T/T	OOOOO	solo_l1_rpw-tnr-surv	TEMPERATURE	TEMPERATURE	PA and analog temperature	Temperature of the 3 HF PAs and analog. in degrees. In the case of an internal calibration mode, it contains the PCB temperature and the 3 Voltages.	data		&#176;										Epoch			time_series	I3.3	Temperature	TEMPERATURE_LABEL									255	201	127	linear		254	0				
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	TNR_BAND	TNR_BAND	TNR band of the current record	TNR band of the current record. Possible values are: 1=A, 2=B, 3=C, 4=D	data												Epoch			time_series	I1.0											255	3	0	linear		1	0				
ASTRO	CDF_UINT4	1	2:[4,32]	F/TT	OOOOO	solo_l1_rpw-tnr-surv	TNR_BAND_FREQ	TNR_BAND_FREQ	Frequencies of analysis of the 4 TNR bands in Hz	Frequencies of analysis of the 4 TNR bands in Hz	support_data		Hz										Epoch			time_series	I6.0		BAND_LABEL									4294967295	978572	3992	log		978572	3992				
ASTRO	CDF_UINT1	1	1:[4]	F/T	OOOOO	solo_l1_rpw-tnr-surv	INTEGRATION_TIME	INTEGRATION_TIME	Integration time of TNR bands	Integration time of a single measurement in the TNR A, B,C and D bands in milliseconds. Total measurement duration T (ms) for a given TNR band is T = INTEGRATION_TIME * AVERAGE_NR, where AVERAGE_NR is the number of averages (i.e., 16, 32, 64 or 128).	support_data		ms										Epoch			time_series	I2.2	Int. Time										255	255	0	linear		20	10				
ASTRO	CDF_FLOAT	1	2:[4,32]	F/TT	OOOOO	solo_l1_rpw-tnr-surv	BANDWIDTH	BANDWIDTH	Frequency bandwidth	TNR frequency bandwidth in Hz	support_data		Hz										Epoch			time_series	F10.3	Bandwidth										-1.0e+31	1.0e+30	0.0	linear		1.0e+30	0.0				
ASTRO	CDF_UINT2	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	AGC1	AGC1	Automatic Gain Control on channel 1	Automatic Gain Control measured on channel 1	data												Epoch			time_series	I1.1	AGC1										65535	3385	1655	linear		65534	0				
ASTRO	CDF_UINT2	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	AGC2	AGC2	Automatic Gain Control on channel 2	Automatic Gain Control measured on channel 2	data												Epoch			time_series	I1.1	TNR AGC2										65535	65535	1669	linear		65534	0				
ASTRO	CDF_UINT2	1	1:[32]	T/T	OOOOO	solo_l1_rpw-tnr-surv	AUTO1	AUTO1	Auto-correlation on channel 1	Auto-correlation on channel 1	data												Epoch	FREQUENCY		time_series	I1.1	TNR Auto1										65535	3609	1025	linear		65534	0				
ASTRO	CDF_UINT2	1	1:[32]	T/T	OOOOO	solo_l1_rpw-tnr-surv	AUTO2	AUTO2	Auto-correlation on channel 2	Auto-correlation on channel 2	data												Epoch	FREQUENCY		time_series	I1.1	TNR Auto2										65535	65535	1146	linear		65534	0				
