
MISSION	SPASE_RESOURCE_ID	PERSON_SPASE_RESOURCE_ID	ROLE

LANL	NASA/NumericalData/LANL/1989/Ephemeris/PT3M	SMWG/Person/Robert.E.McGuire	GeneralContact
SPASE XML Tab File Name:	SMWG/Person/Robert.E.McGuire.xml	OOO	13	13
MMS	NASA/NumericalData/MMS/1/HotPlasmaCompositionAnalyzer/Burst/Level2/Ion/PT0.625S	SMWG/Person/Stephen.A.Fuselier	InstrumentLead
MMS	NASA/NumericalData/MMS/1/HotPlasmaCompositionAnalyzer/Burst/Level2/Ion/PT0.625S	SMWG/Person/Stephen.A.Fuselier	CoInvestigator
SPASE XML Tab File Name:	SMWG/Person/Stephen.A.Fuselier.xml	OOO	10	10
MMS	NASA/NumericalData/MMS/1/HotPlasmaCompositionAnalyzer/Burst/Level2/Ion/PT0.625S	SMWG/Person/David.T.Young	InstrumentLead
MMS	NASA/NumericalData/MMS/1/HotPlasmaCompositionAnalyzer/Burst/Level2/Ion/PT0.625S	SMWG/Person/David.T.Young	CoInvestigator
SPASE XML Tab File Name:	SMWG/Person/David.T.Young.xml	OOO	13	13
MMS	NASA/NumericalData/MMS/1/HotPlasmaCompositionAnalyzer/Burst/Level2/Ion/PT0.625S	SMWG/Person/Roman.G.Gomez	CoInvestigator
SPASE XML Tab File Name:	SMWG/Person/Roman.G.Gomez.xml	OOO	13	13
MMS	NASA/NumericalData/MMS/1/HotPlasmaCompositionAnalyzer/Burst/Level2/Ion/PT0.625S	SMWG/Person/James.L.Burch	PrincipalInvestigator
SPASE XML Tab File Name:	SMWG/Person/James.L.Burch.xml	OOO	12	12
MMS	NASA/NumericalData/MMS/1/HotPlasmaCompositionAnalyzer/Burst/Level2/Ion/PT0.625S	SMWG/Person/MMS_SDC_POC	HostContact
SPASE XML Tab File Name:	SMWG/Person/MMS_SDC_POC.xml	OOO	13	13
MMS	NASA/NumericalData/MMS/1/HotPlasmaCompositionAnalyzer/Burst/Level2/Ion/PT0.625S	SMWG/Person/Robert.M.Candey	MetadataContact
SPASE XML Tab File Name:	SMWG/Person/Robert.M.Candey.xml	XXX	14	13
MMS	NASA/NumericalData/MMS/1/HotPlasmaCompositionAnalyzer/Burst/Level2/Ion/PT0.625S	SMWG/Person/Lee.Frost.Bargatze	MetadataContact
SPASE XML Tab File Name:	SMWG/Person/Lee.Frost.Bargatze.xml	OOO	13	13
