Alysha.Reinard	NASA/Annotation/Alysha.Reinard/CME/ACE.1994-02-21T19_00_00	SMWG/Person/Alysha.Reinard	MetadataContact
Alysha.Reinard	NASA/Annotation/Alysha.Reinard/CME/Ulysses.1994-02-26T08_00_00	SMWG/Person/Alysha.Reinard	MetadataContact
Alysha.Reinard	NASA/Annotation/Alysha.Reinard/CME/Ulysses.1998-11-27T00_00_00	SMWG/Person/Alysha.Reinard	MetadataContact
Alysha.Reinard	NASA/Annotation/Alysha.Reinard/CME/Voyager2.1999-06-24T00_00_00	SMWG/Person/Alysha.Reinard	MetadataContact
Alysha.Reinard	NASA/Annotation/Alysha.Reinard/IPShock/ACE.1994-02-21T08_00_00	SMWG/Person/Alysha.Reinard	MetadataContact
Alysha.Reinard	NASA/Annotation/Alysha.Reinard/IPShock/Ulysses.1994-02-26T08_00_00	SMWG/Person/Alysha.Reinard	MetadataContact
Alysha.Reinard	NASA/Annotation/Alysha.Reinard/MagneticCloud/ACE.2007-05-21T22_19_00	SMWG/Person/Alysha.Reinard	MetadataContact
Alysha.Reinard	NASA/Annotation/Alysha.Reinard/MagneticCloud/STEREO-A.2007-05-21T19_12_00	SMWG/Person/Alysha.Reinard	MetadataContact
Alysha.Reinard	NASA/Annotation/Alysha.Reinard/MagneticCloud/STEREO-B.2007-05-22T03_36_00	SMWG/Person/Alysha.Reinard	MetadataContact
BS_IMP8	NASA/Catalog/BS_IMP8	SMWG/Person/Jan.Merka	DataProducer
CME-ICME_Cho2003	NASA/Catalog/CME-ICME_Cho2003	SMWG/Person/Kyung-Seok.Cho	Scientist
Eriksson	NASA/Catalog/Eriksson/WindCurrentSheetExhaustList	SMWG/Person/Stefan.Eriksson	GeneralContact
IMAGE	NASA/Catalog/IMAGE/FUV/CATALOG	SMWG/Person/Harald.U.Frey	GeneralContact
IMAGE	NASA/Catalog/IMAGE/FUV/CATALOG	SMWG/Person/Stephen.B.Mende	GeneralContact
IMP8	NASA/Catalog/IMP8/MAG/Multisource	SMWG/Person/Joseph.H.King	GeneralContact
IMP8	NASA/Catalog/IMP8/MAG/Multisource	SMWG/Person/Natalia.E.Papitashvili	GeneralContact
IMP8	NASA/Catalog/IMP8/MAG/Multisource	SMWG/Person/Jan.Merka	GeneralContact
IMP8	NASA/Catalog/IMP8/MAG/Multisource	SMWG/Person/John.D.Richardson	GeneralContact
IMP8	NASA/Catalog/IMP8/MAG/Multisource	SMWG/Person/Ramona.L.Kessel	GeneralContact
ISTP	NASA/Catalog/ISTP/SWCAT	SMWG/Person/Daniel.Berdichevsky	GeneralContact
SOHO	NASA/Catalog/SOHO/CELIAS/IPSHOCKS	SMWG/Person/Fred.M.Ipavich	GeneralContact
SOHO	NASA/Catalog/SOHO/LASCO/CME_Catalog	SMWG/Person/Seiji.Yashiro	Scientist
SOHO	NASA/Catalog/SOHO/LASCO/CME_Catalog	SMWG/Person/Seiji.Yashiro	MetadataContact
SOHO	NASA/Catalog/SOHO/LASCO/CME_Catalog	SMWG/Person/Lee.Frost.Bargatze	MetadataContact
SOHO	NASA/Catalog/SOHO/LASCO/EVENTLIST	SMWG/Person/Nat.Gopalswamy	PrincipalInvestigator
SOHO	NASA/Catalog/SOHO/LASCO/EVENTLIST	SMWG/Person/Seiji.Yashiro	ProjectScientist
SOHO	NASA/Catalog/SOHO/LASCO/EVENTLIST	SMWG/Person/Seiji.Yashiro	MetadataContact
SOHO	NASA/Catalog/SOHO/LASCO/EVENTLIST	SMWG/Person/Lee.Frost.Bargatze	MetadataContact
SOHO	NASA/Catalog/SOHO/LASCO/Halo.EVENTLIST	SMWG/Person/Nat.Gopalswamy	GeneralContact
SOHO	NASA/Catalog/SOHO/LASCO/TypeII.EVENTLIST	SMWG/Person/Nat.Gopalswamy	GeneralContact
STEREO	NASA/Catalog/STEREO/ICME.List	SMWG/Person/Lan.Jian	GeneralContact
STEREO	NASA/Catalog/STEREO/IP.Shock.List	SMWG/Person/Lan.Jian	GeneralContact
STEREO	NASA/Catalog/STEREO/SECCHI/Cor2/CACTus	SMWG/Person/Brian.Wood	PrincipalInvestigator
STEREO	NASA/Catalog/STEREO/SECCHI/Cor2/CACTus	SMWG/Person/Angelos.Vourlidas	MetadataContact
STEREO	NASA/Catalog/STEREO/SECCHI/Cor2/CACTus	SMWG/Person/Angelos.Vourlidas	ProjectScientist
STEREO	NASA/Catalog/STEREO/SECCHI/Cor2/CACTus	SMWG/Person/William.T.Thompson	GeneralContact
STEREO	NASA/Catalog/STEREO/SECCHI/Cor2/CACTus	SMWG/Person/Lynn.Hutting	TechnicalContact
STEREO	NASA/Catalog/STEREO/SECCHI/Cor2/CACTus	SMWG/Person/Lee.Frost.Bargatze	MetadataContact
STEREO	NASA/Catalog/STEREO/SEP.List	SMWG/Person/Lan.Jian	GeneralContact
STEREO	NASA/Catalog/STEREO/SIRs.List	SMWG/Person/Lan.Jian	GeneralContact
Svalgaard	NASA/Catalog/Svalgaard/Sector.Boundary.Crossing	SMWG/Person/Leif.Svalgaard	DataProducer
TRACE	NASA/Catalog/TRACE/Telescope/LIST	SMWG/Person/Edward.Deluca	GeneralContact
IRIS_AIA	NASA/Collection/IRIS_AIA	SMWG/Person/Bart.De.Pontieu	PrincipalInvestigator
IRIS_HINODE	NASA/Collection/IRIS_HINODE	SMWG/Person/Bart.De.Pontieu	PrincipalInvestigator
IRIS_SST	NASA/Collection/IRIS_SST	SMWG/Person/Bart.De.Pontieu	PrincipalInvestigator
