Num	Metadata File Name	SPASE Resource ID from XML description	SPASE Revise	SPASE Review	Metadata Contact	Revision Note	Revised SPASE Resource ID	Review Notes
017	1654112294-PT1M.xml	GBO/NumericalData/CANOPUS/MPA/KeyParameter/K0/PT1M	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
018	1654114237-PT1S.xml	GBO/NumericalData/IGPPLANL/Air.Force.Academy/Magnetometer/PT1S	JMW	LFB	Lee.Frost.Bargatze	Deleted one InformationURL, AccessURL also no longer valid by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
019	1654117152-PT0.5S.xml	GBO/NumericalData/MEASURE/Applied.Physics.Lab/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
020	1654117308-PT0.5S.xml	GBO/NumericalData/MEASURE/Bullcreek.Observatory/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
021	1654117543-PT0.5S.xml	GBO/NumericalData/MEASURE/Clarkson.University/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
022	1654117859-PT0.5S.xml	GBO/NumericalData/MEASURE/Darksky.Observatory/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
023	1654117930-PT0.5S.xml	GBO/NumericalData/MEASURE/Grafton.Test.Facility/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
024	1654118328-PT0.5S.xml	GBO/NumericalData/MEASURE/Jacksonville.University/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
025	1654118417-PT0.5S.xml	GBO/NumericalData/MEASURE/Millstone.Hill/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
026	1654119733-PT0.5S.xml	GBO/NumericalData/MEASURE/University.of.South.Carolina/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
