									
SPASE_PERSON_RESOURCE_ID	FULL_NAME	FIRST_NAME	AUTHORS_GIVEN_NAME	FAMILY_NAME	INITIAL_NAME	AFFILIATION_NAME	AFFILIATION_ROR	MISSION_ACRONYM	NAME_PATTERN
SMWG/Person/A.P.Remizov	A. P. Remizov	A.	A., P.	Remizov	A.P. Remizov	Academy of Sciences			I_I_N
SMWG/Person/A.Patteson	A. Patteson	A.	A.	Patteson	A. Patteson	NASA Johnson Space Center			I_N
SMWG/Person/A.Peacock	A. Peacock	A.	A.	Peacock	A. Peacock	ESA-European Space Research Technology			I_N
SMWG/Person/A.Pedrini-Mille	A. Pedrini-Mille	A.	A.	Pedrini-Mille	A. Pedrini-Mille	University of Iowa			I_N
SMWG/Person/A.Peter.Willmore	A. Peter Willmore	A.	A., Peter	Willmore	A.P. Willmore	University of Birmingham			I_N_N
SMWG/Person/A.R.Engel	A. R. Engel	A.	A., R.	Engel	A.R. Engel	Imperial College of Science, Technology and Medici			I_I_N
SMWG/Person/A.R.Frederickson	A. R. Frederickson	A.	A., R.	Frederickson	A.R. Frederickson	USAF Geophysics Laboratory			I_I_N
SMWG/Person/A.R.Whiting	A. R. Whiting	A.	A., R.	Whiting	A.R. Whiting	Oak Ridge National Laboratory			I_I_N
SMWG/Person/A.Rossbach	A. Rossbach	A.	A.	Rossbach	A. Rossbach	Deutsche Forschungs-U. Versuchsanstalt			I_N
SMWG/Person/A.S.Brown	A. S. Brown	A.	A., S.	Brown	A.S. Brown	Communications Research Centre			I_I_N
SMWG/Person/A.S.Kiran.Kumar	A. S. Kiran Kumar	A.	A., S. Kiran	Kumar	A.S.K. Kumar	Indian Space Research Organisation			I_I_N_N
SMWG/Person/A.Scano	A. Scano	A.	A.	Scano	A. Scano	Universita di Roma			I_N
SMWG/Person/A.T.Edgerton	A. T. Edgerton	A.	A., T.	Edgerton	A.T. Edgerton	Hughes Aircraft Company			I_I_N
SMWG/Person/A.T.K.Crockett	A. T. K. Crockett	A.	A., T. K.	Crockett	A.T.K. Crockett	Harbor General Hospital			I_I_I_N
SMWG/Person/A.Thompson	A. Thompson	A.	A.	Thompson	A. Thompson	Dublin Institute for Advanced Studies			I_N
SMWG/Person/A.V.Jones	A. V. Jones	A.	A., V.	Jones	A.V. Jones	National Research Council of Canada			I_I_N
SMWG/Person/A.V.Kartashev	A. V. Kartashev	A.	A., V.	Kartashev	A.V. Kartashev	Academy of Sciences			I_I_N
SMWG/Person/A.W.Leibov	A. W. Leibov	A.	A., W.	Leibov	A.W. Leibov	Russian Academy of Sciences			I_I_N
SMWG/Person/A.Wekhof	A. Wekhof	A.	A.	Wekhof	A. Wekhof	Unknown - formerly at U of CA, Berkeley			I_N
SMWG/Person/A.Whatley	A. Whatley	A.	A.	Whatley	A. Whatley	University of Reading			I_N
SMWG/Person/A.Zenuk	A. Zenuk	A.	A.	Zenuk	A. Zenuk	Aracon Geophysics Corporation			I_N
SMWG/Person/Aaron.Barnes	Aaron Barnes	Aaron	Aaron	Barnes	A. Barnes	NASA Ames Research Center		Pioneer10 PioneerVenusOrbiter	N_N
SMWG/Person/Aaron.J.Ridley	Aaron J. Ridley	Aaron	Aaron, J.	Ridley	A.J. Ridley	Department of Atmospheric, Oceanic and Space Sciences			N_I_N
SMWG/Person/Aaron.L.Adler	Aaron L. Adler	Aaron	Aaron, L.	Adler	A.L. Adler	Jackson &amp; Tull, Inc			N_I_N
SMWG/Person/Aaron.P.Zent	Aaron P. Zent	Aaron	Aaron, P.	Zent	A.P. Zent	NASA Ames Research Center			N_I_N
SMWG/Person/Abe.D.Kampinsky	Abe D. Kampinsky	Abe	Abe, D.	Kampinsky	A.D. Kampinsky	Unknown - formerly at NASA-GSFC			N_I_N
SMWG/Person/Abigail.D.Harper	Abigail D. Harper	Abigail	Abigail, D.	Harper	A.D. Harper	GSFC-Code 300			N_I_N
SMWG/Person/Achim.Morschhauser	Achim Morschhauser	Achim	Achim	Morschhauser	A. Morschhauser	GFZ Helmholtz Centre Potsdam			N_N
