									
SPASE_PERSON_RESOURCE_ID	FULL_NAME	FIRST_NAME	AUTHORS_GIVEN_NAME	FAMILY_NAME	INITIAL_NAME	AFFILIATION_NAME	AFFILIATION_ROR	MISSION_ACRONYM	NAME_PATTERN
SMWG/Person/David.D.Morgan	David D. Morgan	David	David, D.	Morgan	D.D. Morgan	University of Iowa			N_I_N
SMWG/Person/David.D.Morrison	David D. Morrison	David	David, D.	Morrison	D.D. Morrison	NASA Ames Research Center			N_I_N
SMWG/Person/David.D.Peterson	David D. Peterson	David	David, D.	Peterson	D.D. Peterson	University of San Francisco			N_I_N
SMWG/Person/David.Dale	David Dale	David	David	Dale	D. Dale	ESA-European Space Research Technology			N_N
SMWG/Person/David.E.Larko	David E. Larko	David	David, E.	Larko	D.E. Larko	GSFC-Code 916			N_I_N
SMWG/Person/David.E.Morris	David E. Morris	David	David, E.	Morris	D.E. Morris	Unknown - formerly at NASA Langley Research Ce			N_I_N
SMWG/Person/David.E.Morse	David E. Morse	David	David, E.	Morse	D.E. Morse	Utah State University			N_I_N
SMWG/Person/David.E.Siskind	David E. Siskind	David	David, E.	Siskind	D.E. Siskind	Space Science Division, Naval Research Laboratory		STPSat1	N_I_N
SMWG/Person/David.E.Smith	David E. Smith	David	David, E.	Smith	D.E. Smith	GSFC-Code 920			N_I_N
SMWG/Person/David.Eccles	David Eccles	David	David	Eccles	D. Eccles	Rutherford Appleton Laboratory			N_N
SMWG/Person/David.Edge	David Edge	David	David	Edge	D. Edge	Bendix Field Engineering Corporation			N_N
SMWG/Person/David.F.Blake	David F. Blake	David	David, F.	Blake	D.F. Blake	NASA Ames Research Center			N_I_N
SMWG/Person/David.F.Hall	David F. Hall	David	David, F.	Hall	D.F. Hall	Aerospace Corporation			N_I_N
SMWG/Person/David.Fischel	David Fischel	David	David	Fischel	D. Fischel	Raytheon ITSS			N_N
SMWG/Person/David.Fischer	David Fischer	David	David	Fischer	D. Fischer	Space Research Institute, Austrian Academy of Sciences		MMS	N_N
SMWG/Person/David.G.Ashworth	David G. Ashworth	David	David, G.	Ashworth	D.G. Ashworth	University of Kent at Canterbury			N_I_N
SMWG/Person/David.G.Grant	David G. Grant	David	David, G.	Grant	D.G. Grant	Applied Physics Laboratory			N_I_N
SMWG/Person/David.G.Heathcote	David G. Heathcote	David	David, G.	Heathcote	D.G. Heathcote	University City Science Center			N_I_N
SMWG/Person/David.G.Murcray	David G. Murcray	David	David, G.	Murcray	D.G. Murcray	University of Denver			N_I_N
SMWG/Person/David.G.Sibeck	David G. Sibeck	David	David, G.	Sibeck	D.G. Sibeck	NASA/GSFC, Code 672			N_I_N
SMWG/Person/David.G.Zimcik	David G. Zimcik	David	David, G.	Zimcik	D.G. Zimcik	Canadian Space Agency			N_I_N
SMWG/Person/David.H.Allen	David H. Allen	David	David, H.	Allen	D.H. Allen	Texas A&amp; M University			N_I_N
SMWG/Person/David.H.Atkinson	David H. Atkinson	David	David, H.	Atkinson	D.H. Atkinson	University of Idaho			N_I_N
SMWG/Person/David.H.Lehman	David H. Lehman	David	David, H.	Lehman	D.H. Lehman	Jet Propulsion Laboratory			N_I_N
SMWG/Person/David.H.Rodgers	David H. Rodgers	David	David, H.	Rodgers	D.H. Rodgers	Jet Propulsion Laboratory			N_I_N
SMWG/Person/David.H.Staelin	David H. Staelin	David	David, H.	Staelin	D.H. Staelin	MIT Lincoln Laboratory			N_I_N
SMWG/Person/David.Heather	David Heather	David	David	Heather	D. Heather	Planetary Science Archive, ESA, Madrid			N_N
SMWG/Person/David.I.Kaplan	David I. Kaplan	David	David, I.	Kaplan	D.I. Kaplan	NASA Johnson Space Center			N_I_N
SMWG/Person/David.I.Wardle	David I. Wardle	David	David, I.	Wardle	D.I. Wardle	Environment Canada			N_I_N
SMWG/Person/David.J.Adams	David J. Adams	David	David, J.	Adams	D.J. Adams	University of Leicester			N_I_N
SMWG/Person/David.J.Anderson	David J. Anderson	David	David, J.	Anderson	D.J. Anderson	University of Michigan			N_I_N
SMWG/Person/David.J.Carnochan	David J. Carnochan	David	David, J.	Carnochan	D.J. Carnochan	University College London			N_I_N
SMWG/Person/David.J.Diner	David J. Diner	David	David, J.	Diner	D.J. Diner	Jet Propulsion Laboratory			N_I_N
SMWG/Person/David.J.Forrest	David J. Forrest	David	David, J.	Forrest	D.J. Forrest	University of New Hampshire			N_I_N
SMWG/Person/David.J.Knecht	David J. Knecht	David	David, J.	Knecht	D.J. Knecht	USAF Geophysics Laboratory			N_I_N
SMWG/Person/David.J.Knudsen	David J. Knudsen	David	David, J.	Knudsen	D.J. Knudsen	University of Calgary			N_I_N
SMWG/Person/David.J.Larson.Jr	David J. Larson, Jr.	David	David, J.	Larson, Jr.	D.J. Larson, Jr.	State University of New York at Stony Bro			N_I_N
SMWG/Person/David.J.McComas	David J. McComas	David	David, J.	McComas	D.J. McComas	Princeton Unniversity		ACE IBEX NewHorizons ParkerSolarProbe TWINS TWINS1 TWINS2 Ulysses Weygand	N_I_N
SMWG/Person/David.J.Okerson	David J. Okerson	David	David, J.	Okerson	D.J. Okerson	Science Applications International Corp			N_I_N
SMWG/Person/David.J.Pine	David J. Pine	David	David, J.	Pine	D.J. Pine	NASA Headquarters			N_I_N
SMWG/Person/David.J.Shrewsberry	David J. Shrewsberry	David	David, J.	Shrewsberry	D.J. Shrewsberry	GSFC-Code 740			N_I_N
SMWG/Person/David.J.Simons	David J. Simons	David	David, J.	Simons	D.J. Simons	Los Alamos National Laboratory			N_I_N
SMWG/Person/David.J.Southwood	David J. Southwood	David	David, J.	Southwood	D.J. Southwood	Imperial College of Science, Technology and Medicine		AMPTE-UKS	N_I_N
SMWG/Person/David.J.Tholen	David J. Tholen	David	David, J.	Tholen	D.J. Tholen	University of Hawaii			N_I_N
SMWG/Person/David.J.Thompson	David J. Thompson	David	David, J.	Thompson	D.J. Thompson	GSFC-Code 661			N_I_N
SMWG/Person/David.K.Clark	David K. Clark	David	David, K.	Clark	D.K. Clark	NOAA National Geophysical Data Center			N_I_N
SMWG/Person/David.K.Felbeck	David K. Felbeck	David	David, K.	Felbeck	D.K. Felbeck	University of Michigan			N_I_N
SMWG/Person/David.L.Band	David L. Band	David	David, L.	Band	D.L. Band	University of California, San Diego			N_I_N
SMWG/Person/David.L.Bertsch	David L. Bertsch	David	David, L.	Bertsch	D.L. Bertsch	GSFC-Code 661			N_I_N
SMWG/Person/David.L.Chenette	David L. Chenette	David	David, L.	Chenette	D.L. Chenette	Lockheed Palo Alto Research Laboratory		POLAR	N_I_N
SMWG/Person/David.L.Hysell	David L. Hysell	David	David, L.	Hysell	D.L. Hysell	Earth and Atmospheric Sciences, College of Agriculture and Life Science, College of Engineering		RENU2	N_I_N
SMWG/Person/David.L.McKenzie	David L. McKenzie	David	David, L.	McKenzie	D.L. McKenzie	Aerospace Corporation			N_I_N
SMWG/Person/David.L.Reasoner	David L. Reasoner	David	David, L.	Reasoner	D.L. Reasoner	Deceased - formerly at NASA-MSFC		Apollo14-LM CRRES	N_I_N
SMWG/Person/David.L.Shupe	David L. Shupe	David	David, L.	Shupe	D.L. Shupe	California Institute of Technology			N_I_N
SMWG/Person/David.Lindstrom	David Lindstrom	David	David	Lindstrom	D. Lindstrom	NASA Headquarters			N_N
SMWG/Person/David.Llewellyn-Jones	David Llewellyn-Jones	David	David	Llewellyn-Jones	D. Llewellyn-Jones	University of Leicester			N_N
SMWG/Person/David.M.Klumpar	David M. Klumpar	David	David, M.	Klumpar	D.M. Klumpar	Montana State University		FAST	N_I_N
SMWG/Person/David.M.Malaspina	David M. Malaspina	David	David, M.	Malaspina	D.M. Malaspina	Laboratory for Atmospheric and Space Physics, LASP, University of Colorado, Boulder		Wind	N_I_N
SMWG/Person/David.M.Smith	David M. Smith	David	David, M.	Smith	D.M. Smith	University of California Berkley		BARREL	N_I_N
SMWG/Person/David.M.Walton	David M. Walton	David	David, M.	Walton	D.M. Walton	Mullard Space Science Laboratory			N_I_N
SMWG/Person/David.M.Yeager	David M. Yeager	David	David, M.	Yeager	D.M. Yeager	Unknown - formerly at U of Iowa			N_I_N
SMWG/Person/David.Martinez	David Martinez	David	David	Martinez	D. Martinez	Universidad de Los Lagos			N_N
SMWG/Person/David.N.Burrows	David N. Burrows	David	David, N.	Burrows	D.N. Burrows	Pennsylvania State University			N_I_N
SMWG/Person/David.N.Spergel	David N. Spergel	David	David, N.	Spergel	D.N. Spergel	Princeton University			N_I_N
SMWG/Person/David.Nichols	David Nichols	David	David	Nichols	D. Nichols	University of California, San Diego			N_N
SMWG/Person/David.P.Cauffman	David P. Cauffman	David	David, P.	Cauffman	D.P. Cauffman	Lockheed Martin Space Systems Company			N_I_N
SMWG/Person/David.P.Hinson	David P. Hinson	David	David, P.	Hinson	D.P. Hinson	Stanford University			N_I_N
SMWG/Person/David.P.Stern	David P. Stern	David	David, P.	Stern	D.P. Stern	GSFC-Code 695			N_I_N
SMWG/Person/David.Q.Wark	David Q. Wark	David	David, Q.	Wark	D.Q. Wark	NOAA National Environmental Satellite			N_I_N
SMWG/Person/David.R.Williams	David R. Williams	David	David, R.	Williams	D.R. Williams	GSFC-Code 690.1		Apollo12-LM Apollo15-LM	N_I_N
SMWG/Person/David.Ramsden	David Ramsden	David	David	Ramsden	D. Ramsden	University of Southampton			N_N
SMWG/Person/David.Rees	David Rees	David	David	Rees	D. Rees	Unknown			N_N
SMWG/Person/David.S.Evans	David S. Evans	David	David, S.	Evans	D.S. Evans	NOAA Environmental Research Labs			N_I_N
SMWG/Person/David.S.Hall	David S. Hall	David	David, S.	Hall	D.S. Hall	Rutherford Appleton Laboratory			N_I_N
SMWG/Person/David.S.Leckrone	David S. Leckrone	David	David, S.	Leckrone	D.S. Leckrone	GSFC-Code 600			N_I_N
SMWG/Person/David.S.McKay	David S. McKay	David	David, S.	McKay	D.S. McKay	NASA Johnson Space Center			N_I_N
SMWG/Person/David.Schiminovich	David Schiminovich	David	David	Schiminovich	D. Schiminovich	California Institute of Technology			N_N
SMWG/Person/David.Starr.Finley	David Starr Finley	David	David, Starr	Finley	D.S. Finley	University of California, Berkeley			N_N_N
SMWG/Person/David.T.Leisawitz	David T. Leisawitz	David	David, T.	Leisawitz	D.T. Leisawitz	GSFC-Code 685			N_I_N
SMWG/Person/David.T.Wilkinson	David T. Wilkinson	David	David, T.	Wilkinson	D.T. Wilkinson	Princeton University			N_I_N
SMWG/Person/David.T.Young	David T. Young	David	David, T.	Young	D.T. Young	Southwest Research Institute		MMS	N_I_N
SMWG/Person/David.Typinski	Dave Typinski	Dave	Dave	Typinski	D. Typinski	AJ4CO Observatory			N_N
SMWG/Person/David.W.Curtis	David W. Curtis	David	David, W.	Curtis	D.W. Curtis	University of California, Berkeley			N_I_N
SMWG/Person/David.W.Grimes	David W. Grimes	David	David, W.	Grimes	D.W. Grimes	Unknown - formerly at NASA-GSFC			N_I_N
SMWG/Person/David.W.Harris	David W. Harris	David	David, W.	Harris	D.W. Harris	Unknown - formerly at GSFC-Code 501			N_I_N
SMWG/Person/David.W.Hughes	David W. Hughes	David	David, W.	Hughes	D.W. Hughes	University of Sheffield			N_I_N
SMWG/Person/David.W.Lozier	David W. Lozier	David	David, W.	Lozier	D.W. Lozier	NASA Ames Research Center			N_I_N
SMWG/Person/David.W.Rusch	David W. Rusch	David	David, W.	Rusch	D.W. Rusch	University of Colorado			N_I_N
SMWG/Person/David.W.Strangway	David W. Strangway	David	David, W.	Strangway	D.W. Strangway	Canada Foundation for Innovation			N_I_N
SMWG/Person/Davin.Larsen	Davin Larsen	Davin	Davin	Larsen	D. Larsen	Berkeley		Wind	N_N
SMWG/Person/Davin.Larson	Davin Larson	Davin	Davin	Larson	D. Larson	University of California, Berkeley		MAVEN THEMIS	N_N
SMWG/Person/Dawn.Myers	Dawn Myers	Dawn	Dawn	Myers	D. Myers	GSFC-Code 682			N_N
SMWG/Person/Dayton.W.Datlowe	Dayton W. Datlowe	Dayton	Dayton, W.	Datlowe	D.W. Datlowe	Lockheed Martin			N_I_N
SMWG/Person/Dean.F.Smith	Dean F. Smith	Dean	Dean, F.	Smith	D.F. Smith	NOAA National Geophysical Data Center			N_I_N
SMWG/Person/Dean.P.Jones	Dean P. Jones	Dean	Dean, P.	Jones	D.P. Jones	Emory University			N_I_N
SMWG/Person/Debra.J.Wolgemuth	Debra J. Wolgemuth	Debra	Debra, J.	Wolgemuth	D.J. Wolgemuth	Columbia University			N_I_N
SMWG/Person/Delbert.E.Day	Delbert E. Day	Delbert	Delbert, E.	Day	D.E. Day	University of Missouri-Rolla			N_I_N
SMWG/Person/Della.Stewart	Della Stewart	Della	Della	Stewart	D. Stewart	Unknown - formerly at NASA-GSFC			N_N
SMWG/Person/Denis.Alcayde	Denis Alcayde	Denis	Denis	Alcayde	D. Alcayde	CNRS Centre d&apos;Etudes Spatiales des			N_N
SMWG/Person/Denis.F.OSullivan	Denis F. O&apos;Sullivan	Denis	Denis, F.	O&apos;Sullivan	D.F. O&apos;Sullivan	Dublin Institute for Advanced Studies			N_I_N
SMWG/Person/Denis.Moura	Denis Moura	Denis	Denis	Moura	D. Moura	Centre National d&apos;Etudes Spatiales			N_N
SMWG/Person/Denison.R.Lepine	Denison R. Lepine	Denison	Denison, R.	Lepine	D.R. Lepine	Rutherford Appleton Laboratory			N_I_N
SMWG/Person/Dennis.C.Ebbets	Dennis C. Ebbets	Dennis	Dennis, C.	Ebbets	D.C. Ebbets	Unknown - formerly at Space Telescope Science			N_I_N
SMWG/Person/Dennis.Chesters	Dennis Chesters	Dennis	Dennis	Chesters	D. Chesters	GSFC-Code 913			N_N
SMWG/Person/Dennis.Haggerty	Dennis Haggerty	Dennis	Dennis	Haggerty	D. Haggerty	Applied Physics Laboratory		ACE	N_N
SMWG/Person/Dennis.K.Haggerty	Dennis K. Haggerty	Dennis	Dennis, K.	Haggerty	D.K. Haggerty	Applied Physics Laboratory		ACE	N_I_N
SMWG/Person/Dennis.L.Gallagher	Dennis L. Gallagher	Dennis	Dennis, L.	Gallagher	D.L. Gallagher	NASA Marshall Space Flight Center			N_I_N
SMWG/Person/Dennis.L.Hartmann	Dennis L. Hartmann	Dennis	Dennis, L.	Hartmann	D.L. Hartmann	University of Washington			N_I_N
SMWG/Person/Dennis.L.Matson	Dennis L. Matson	Dennis	Dennis, L.	Matson	D.L. Matson	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Derek.E.Miller	Derek E. Miller	Derek	Derek, E.	Miller	D.E. Miller	Meteorological Office			N_I_N
SMWG/Person/Derek.E.Mullinger	Derek E. Mullinger	Derek	Derek, E.	Mullinger	D.E. Mullinger	ESA/SPICE			N_I_N
SMWG/Person/Derek.Eaton	Derek Eaton	Derek	Derek	Eaton	D. Eaton	ESA-European Space Research Technology			N_N
SMWG/Person/Derek.M.Cunnold	Derek M. Cunnold	Derek	Derek, M.	Cunnold	D.M. Cunnold	Georgia Institute of Technology			N_I_N
SMWG/Person/Devamitta.A.Mendis	Devamitta A. Mendis	Devamitta	Devamitta, A.	Mendis	D.A. Mendis	University of California, San Diego			N_I_N
SMWG/Person/Devrie.S.Intriligator	Devrie S. Intriligator	Devrie	Devrie, S.	Intriligator	D.S. Intriligator	Carmel Research Center			N_I_N
SMWG/Person/Diane.C.Roussel-Dupre	Diane C. Roussel-Dupre	Diane	Diane, C.	Roussel-Dupre	D.C. Roussel-Dupre	Los Alamos National Laboratory			N_I_N
SMWG/Person/Diane.L.Evans	Diane L. Evans	Diane	Diane, L.	Evans	D.L. Evans	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Dianne.K.Prinz	Dianne K. Prinz	Dianne	Dianne, K.	Prinz	D.K. Prinz	US Naval Research Laboratory			N_I_N
SMWG/Person/Dick.S.Diller	Dick S. Diller	Dick	Dick, S.	Diller	D.S. Diller	Unknown - formerly at NASA Headquarters			N_I_N
SMWG/Person/Diedrich.T.Mohlmann	Diedrich T. Mohlmann	Diedrich	Diedrich, T.	Mohlmann	D.T. Mohlmann	DLR			N_I_N
SMWG/Person/Dieter.Baum	Dieter Baum	Dieter	Dieter	Baum	D. Baum	DLR			N_N
SMWG/Person/Dieter.K.Bilitza	Dieter K. Bilitza	Dieter	Dieter, K.	Bilitza	D.K. Bilitza	NASA/GSFC, Code 672		AE-C AE-D AE-E Aeros-A Alouette1 Alouette2 DE2 Explorer22 Explorer31 Explorer32 IGS ISIS1 ISIS2 OGO6 SNOE	N_I_N
SMWG/Person/Dieter.K.H.Krankowsky	Dieter K. H. Krankowsky	Dieter	Dieter, K. H.	Krankowsky	D.K.H. Krankowsky	Max-Planck-Institut fur Kernphysik			N_I_I_N
SMWG/Person/Dieter.K.Hovestadt	Dieter K. Hovestadt	Dieter	Dieter, K.	Hovestadt	D.K. Hovestadt	Max-Planck-Institut fur Extraterrestrische			N_I_N
SMWG/Person/Dietmar.Baumgartner	Dietmar Baumgartner	Dietmar	Dietmar	Baumgartner	D. Baumgartner	KANZELHÖHE OBSERVATORY		KSO	N_N
SMWG/Person/Dietrich.Muller	Dietrich Muller	Dietrich	Dietrich	Muller	D. Muller	University of Chicago			N_N
SMWG/Person/Dirk.Offermann	Dirk Offermann	Dirk	Dirk	Offermann	D. Offermann	Universitat-Gesamthochschule Wuppertal			N_N
SMWG/Person/Dixon.M.Butler	Dixon M. Butler	Dixon	Dixon, M.	Butler	D.M. Butler	NASA Headquarters			N_I_N
SMWG/Person/Dmitri.Kondrashov	Dmitri Kondrashov	Dmitri	Dmitri	Kondrashov	D. Kondrashov	UCLA, Institute of Geophysics and Planetary Physics and Department of Atmospheric Sciences			N_N
SMWG/Person/Dmitriy.A.Subbotin	Dmitriy A. Subbotin	Dmitriy	Dmitriy, A.	Subbotin	D.A. Subbotin	UCLA, Department of Atmospheric Sciences			N_I_N
SMWG/Person/Domenick.J.Tenerelli	Domenick J. Tenerelli	Domenick	Domenick, J.	Tenerelli	D.J. Tenerelli	Lockheed Missiles and Space Company			N_I_N
SMWG/Person/Domenico.Di.Mauro	Domenico Di Mauro	Domenico	Domenico, Di	Mauro	D.D. Mauro	::UNKNOWN::			N_N_N
SMWG/Person/Domingo.Rosales	Domingo Rosales	Domingo	Domingo	Rosales	D. Rosales	Instituto Geofisico del Peru			N_N
SMWG/Person/Dominic.M.Zarro	Dominic M. Zarro	Dominic	Dominic, M.	Zarro	D.M. Zarro	GSFC-Code 682.3			N_I_N
SMWG/Person/Dominique.Fontaine	Dominique Fontaine	Dominique	Dominique	Fontaine	D. Fontaine	Centre de Recherches en Physique de			N_N
SMWG/Person/Dominique.Heulet	Dominique Heulet	Dominique	Dominique	Heulet	D. Heulet	Centre National d&apos;Etudes Spatiales			N_N
SMWG/Person/Don.F.Smart	Don F. Smart	Don	Don, F.	Smart	D.F. Smart	University of Alabama Huntsville			N_I_N
SMWG/Person/Don.L.Harrison	Don L. Harrison	Don	Don, L.	Harrison	D.L. Harrison	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Don.L.Lind	Don L. Lind	Don	Don, L.	Lind	D.L. Lind	NASA Johnson Space Center			N_I_N
SMWG/Person/Don.McMullin	Don McMullin	Don	Don	McMullin	D. McMullin	University of Southern California		SOHO	N_N
SMWG/Person/Don.R.Zuccaro	Don R. Zuccaro	Don	Don, R.	Zuccaro	D.R. Zuccaro	University of Texas at Dallas			N_I_N
SMWG/Person/Don.V.Fordyce	Don V. Fordyce	Don	Don, V.	Fordyce	D.V. Fordyce	Unknown - formerly at GSFC-Code 400			N_I_N
SMWG/Person/Donald.A.Anderson	Donald A. Anderson	Donald	Donald, A.	Anderson	D.A. Anderson	Arizona State University			N_I_N
SMWG/Person/Donald.A.Guidice	Donald A. Guidice	Donald	Donald, A.	Guidice	D.A. Guidice	USAF Geophysics Laboratory			N_I_N
SMWG/Person/Donald.A.Gurnett	Donald A. Gurnett	Donald	Donald, A.	Gurnett	D.A. Gurnett	University of Iowa		CRRES Cassini Cluster Cluster-Rumba Cluster-Salsa Cluster-Samba Cluster-Tango DE1 Galileo Hawkeye ISEE1 Injun5 POLAR Voyager1 Voyager2	N_I_N
SMWG/Person/Donald.A.Kniffen	Donald A. Kniffen	Donald	Donald, A.	Kniffen	D.A. Kniffen	Hampden-Sydney College			N_I_N
SMWG/Person/Donald.A.McPherson	Donald A. McPherson	Donald	Donald, A.	McPherson	D.A. McPherson	Aerospace Corporation			N_I_N
SMWG/Person/Donald.A.Morrison	Donald A. Morrison	Donald	Donald, A.	Morrison	D.A. Morrison	NASA Johnson Space Center			N_I_N
SMWG/Person/Donald.A.Thomas	Donald A. Thomas	Donald	Donald, A.	Thomas	D.A. Thomas	NASA Johnson Space Center			N_I_N
SMWG/Person/Donald.B.Campbell	Donald B. Campbell	Donald	Donald, B.	Campbell	D.B. Campbell	Cornell University			N_I_N
SMWG/Person/Donald.B.Melrose	Donald B. Melrose	Donald	Donald, B.	Melrose	D.B. Melrose	University of Sydney			N_I_N
SMWG/Person/Donald.B.Muldrew	Donald B. Muldrew	Donald	Donald, B.	Muldrew	D.B. Muldrew	Communications Research Centre			N_I_N
SMWG/Person/Donald.B.Thomason	Donald B. Thomason	Donald	Donald, B.	Thomason	D.B. Thomason	University of Tennessee			N_I_N
SMWG/Person/Donald.B.Wrublik	Donald B. Wrublik	Donald	Donald, B.	Wrublik	D.B. Wrublik	Unknown - formerly at NASA Headquarters			N_I_N
SMWG/Person/Donald.D.Clayton	Donald D. Clayton	Donald	Donald, D.	Clayton	D.D. Clayton	Clemson University			N_I_N
SMWG/Person/Donald.E.Anderson	Donald E. Anderson	Donald	Donald, E.	Anderson	D.E. Anderson	Applied Physics Laboratory			N_I_N
SMWG/Person/Donald.E.Bedo	Donald E. Bedo	Donald	Donald, E.	Bedo	D.E. Bedo	USAF Geophysics Laboratory			N_I_N
SMWG/Person/Donald.E.Brooks	Donald E. Brooks	Donald	Donald, E.	Brooks	D.E. Brooks	University of British Columbia			N_I_N
SMWG/Person/Donald.E.Brownlee	Donald E. Brownlee	Donald	Donald, E.	Brownlee	D.E. Brownlee	University of Washington			N_I_N
SMWG/Person/Donald.E.Gault	Donald E. Gault	Donald	Donald, E.	Gault	D.E. Gault	Murphys Center of Planetology			N_I_N
SMWG/Person/Donald.E.Hewes	Donald E. Hewes	Donald	Donald, E.	Hewes	D.E. Hewes	Unknown - formerly at NASA Langley Research Ce			N_I_N
SMWG/Person/Donald.E.Hunton	Donald E. Hunton	Donald	Donald, E.	Hunton	D.E. Hunton	USAF Geophysics Laboratory			N_I_N
SMWG/Person/Donald.E.Jennings	Donald E. Jennings	Donald	Donald, E.	Jennings	D.E. Jennings	GSFC-Code 693			N_I_N
SMWG/Person/Donald.E.Shemansky	Donald E. Shemansky	Donald	Donald, E.	Shemansky	D.E. Shemansky	University of Arizona			N_I_N
SMWG/Person/Donald.E.Walsh	Donald E. Walsh	Donald	Donald, E.	Walsh	D.E. Walsh	University of Manchester			N_I_N
SMWG/Person/Donald.F.Heath	Donald F. Heath	Donald	Donald, F.	Heath	D.F. Heath	Unknown - formerly with Raytheon, Boulder			N_I_N
SMWG/Person/Donald.G.Mitchell	Donald G. Mitchell	Donald	Donald, G.	Mitchell	D.G. Mitchell	Applied Physics Laboratory		IMAGE MAVEN	N_I_N
SMWG/Person/Donald.H.Brautigam	Donald H. Brautigam	Donald	Donald, H.	Brautigam	D.H. Brautigam	USAF Phillips Laboratory		CRRES	N_I_N
SMWG/Person/Donald.H.Fairfield	Donald H. Fairfield	Donald	Donald, H.	Fairfield	D.H. Fairfield	NASA Goddard Space Flight Center		Explorer34	N_I_N
SMWG/Person/Donald.H.Humes	Donald H. Humes	Donald	Donald, H.	Humes	D.H. Humes	NASA Langley Research Center			N_I_N
SMWG/Person/Donald.Hampton	Donald Hampton	Donald	Donald	Hampton	D. Hampton	University of Alaska, Fairbanks		THEMIS	N_N
SMWG/Person/Donald.I.Oster	Donald I. Oster	Donald	Donald, I.	Oster	D.I. Oster	NASA Langley Research Center			N_I_N
SMWG/Person/Donald.J.Cavalieri	Donald J. Cavalieri	Donald	Donald, J.	Cavalieri	D.J. Cavalieri	GSFC-Code 614.1			N_I_N
SMWG/Person/Donald.J.Collins	Donald J. Collins	Donald	Donald, J.	Collins	D.J. Collins	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Donald.J.McEwen	Donald J. McEwen	Donald	Donald, J.	McEwen	D.J. McEwen	University of Saskatchewan			N_I_N
SMWG/Person/Donald.J.Michels	Donald J. Michels	Donald	Donald, J.	Michels	D.J. Michels	Naval Research Laboratory			N_I_N
SMWG/Person/Donald.J.Williams	Donald J. Williams	Donald	Donald, J.	Williams	D.J. Williams	Applied Physics Laboratory		IMP8	N_I_N
SMWG/Person/Donald.J.Wuebbles	Donald J. Wuebbles	Donald	Donald, J.	Wuebbles	D.J. Wuebbles	Unknown - formerly at LLNL			N_I_N
SMWG/Person/Donald.K.Yeomans	Donald K. Yeomans	Donald	Donald, K.	Yeomans	D.K. Yeomans	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Donald.L.Anderson	Donald L. Anderson	Donald	Donald, L.	Anderson	D.L. Anderson	California Institute of Technology			N_I_N
SMWG/Person/Donald.L.Carpenter	Donald L. Carpenter	Donald	Donald, L.	Carpenter	D.L. Carpenter	Stanford University			N_I_N
SMWG/Person/Donald.L.Kinser	Donald L. Kinser	Donald	Donald, L.	Kinser	D.L. Kinser	Vanderbilt University			N_I_N
SMWG/Person/Donald.L.Margolies	Donald L. Margolies	Donald	Donald, L.	Margolies	D.L. Margolies	GSFC-Code 410			N_I_N
SMWG/Person/Donald.M.Horan	Donald M. Horan	Donald	Donald, M.	Horan	D.M. Horan	US Naval Research Laboratory			N_I_N
SMWG/Person/Donald.M.Sawyer	Donald M. Sawyer	Donald	Donald, M.	Sawyer	D.M. Sawyer	GSFC-Code 690.1			N_I_N
SMWG/Person/Donald.N.Sweetnam	Donald N. Sweetnam	Donald	Donald, N.	Sweetnam	D.N. Sweetnam	Jet Propulsion Laboratory			N_I_N
SMWG/Person/Donald.R.Wilkes	Donald R. Wilkes	Donald	Donald, R.	Wilkes	D.R. Wilkes	NASA Marshall Space Flight Center			N_I_N
SMWG/Person/Donald.S.Burnett	Donald S. Burnett	Donald	Donald, S.	Burnett	D.S. Burnett	California Institute of Technology			N_I_N
SMWG/Person/Donald.T.Farley	Donald T. Farley	Donald	Donald, T.	Farley	D.T. Farley	Cornell University			N_I_N
SMWG/Person/Donald.V.Reames	Donald V. Reames	Donald	Donald, V.	Reames	D.V. Reames	GSFC-Code 661		Wind	N_I_N
SMWG/Person/Donald.W.Davies	Donald W. Davies	Donald	Donald, W.	Davies	D.W. Davies	TRW Incorporated			N_I_N
SMWG/Person/Donald.W.Schlack	Donald W. Schlack	Donald	Donald, W.	Schlack	D.W. Schlack	Unknown			N_I_N
SMWG/Person/Dong-Mei.Yang	Dong-Mei Yang	Dong-Mei	Dong-Mei	Yang	D. Yang	State Seismological Bureau, Beijing, China			N_N
SMWG/Person/Dong.Mei.Yang	Dong Mei Yang	Dong	Dong, Mei	Yang	D.M. Yang	Institute of Geophysics			N_N_N
SMWG/Person/Doran.J.Baker	Doran J. Baker	Doran	Doran, J.	Baker	D.J. Baker	Utah State University			N_I_N
SMWG/Person/Dorothy.B.Spangenberg	Dorothy B. Spangenberg	Dorothy	Dorothy, B.	Spangenberg	D.B. Spangenberg	Eastern Virginia Medical School			N_I_N
SMWG/Person/Douglas.B.Holland	Douglas B. Holland	Douglas	Douglas, B.	Holland	D.B. Holland	Applied Physics Laboratory			N_I_N
SMWG/Person/Douglas.Biesecker	Douglas Biesecke	Douglas	Douglas	Biesecke	D. Biesecke	Space Weather Prediction Center National Oceanic and Atmospheric Administration			N_N
